Open,High,Low,Close,Volume,Base Value,Date (UTC),Time (UTC)
7.19e-06,7.19e-06,7.19e-06,7.19e-06,0.0,0.0,2020-10-10,17:00:00
7.19e-06,7.19e-06,7.19e-06,7.19e-06,0.0,0.0,2020-10-10,18:00:00
7.19e-06,7.19e-06,7.19e-06,7.19e-06,0.0,0.0,2020-10-10,19:00:00
7.19e-06,7.19e-06,7.19e-06,7.19e-06,0.0,0.0,2020-10-10,20:00:00
7.19e-06,7.21e-06,7.17e-06,7.21e-06,11074.65151922,0.0794768,2020-10-10,21:00:00
7.21e-06,7.21e-06,7.21e-06,7.21e-06,1099.0,0.00792379,2020-10-10,22:00:00
7.23e-06,7.23e-06,7.08e-06,7.08e-06,38010.75306926,0.26969955,2020-10-10,23:00:00
7.09e-06,7.09e-06,7.08e-06,7.08e-06,346.63686797,0.00245552,2020-10-11,00:00:00
7.03e-06,7.1e-06,7e-06,7.08e-06,11453.6694178,0.08057793,2020-10-11,01:00:00
7.03e-06,7.03e-06,7.02e-06,7.02e-06,1236.69113247,0.00869275,2020-10-11,02:00:00
7.02e-06,7.02e-06,6.89e-06,6.89e-06,13079.43177982,0.09112896,2020-10-11,03:00:00
6.92e-06,6.92e-06,6.89e-06,6.91e-06,10806.25167247,0.07450297,2020-10-11,04:00:00
6.89e-06,6.99e-06,6.88e-06,6.99e-06,11041.99382714,0.07686529,2020-10-11,05:00:00
7.01e-06,7.02e-06,7.01e-06,7.02e-06,4455.66735319,0.03127799,2020-10-11,06:00:00
7.02e-06,7.02e-06,7.02e-06,7.02e-06,0.0,0.0,2020-10-11,07:00:00
7.02e-06,7.02e-06,7.02e-06,7.02e-06,2695.44708926,0.01892202,2020-10-11,08:00:00
7.02e-06,7.02e-06,7.02e-06,7.02e-06,2949.55291074,0.02070584,2020-10-11,09:00:00
7.02e-06,7.02e-06,6.96e-06,6.96e-06,3551.8219841,0.02479376,2020-10-11,10:00:00
6.96e-06,6.96e-06,6.96e-06,6.96e-06,0.0,0.0,2020-10-11,11:00:00
6.96e-06,6.96e-06,6.96e-06,6.96e-06,0.0,0.0,2020-10-11,12:00:00
6.96e-06,6.96e-06,6.92e-06,6.92e-06,188354.98551755,1.30740083,2020-10-11,13:00:00
6.94e-06,6.94e-06,6.94e-06,6.94e-06,255.34871725,0.00177211,2020-10-11,14:00:00
6.94e-06,6.94e-06,6.91e-06,6.91e-06,4805.03121822,0.03323282,2020-10-11,15:00:00
6.9e-06,6.91e-06,6.89e-06,6.9e-06,11502.89842739,0.07927184,2020-10-11,16:00:00
6.9e-06,6.96e-06,6.9e-06,6.96e-06,6149.20992392,0.04269873,2020-10-11,17:00:00
6.95e-06,6.95e-06,6.88e-06,6.88e-06,2335.3902,0.01615379,2020-10-11,18:00:00
6.88e-06,6.88e-06,6.88e-06,6.88e-06,0.0,0.0,2020-10-11,19:00:00
6.94e-06,6.94e-06,6.94e-06,6.94e-06,500.0,0.00347,2020-10-11,20:00:00
6.94e-06,6.94e-06,6.94e-06,6.94e-06,0.0,0.0,2020-10-11,21:00:00
6.94e-06,6.94e-06,6.93e-06,6.93e-06,5013.62635983,0.03478312,2020-10-11,22:00:00
6.92e-06,6.92e-06,6.91e-06,6.91e-06,1265.50097523,0.00875602,2020-10-11,23:00:00
6.96e-06,6.96e-06,6.96e-06,6.96e-06,252.41091954,0.00175677,2020-10-12,00:00:00
