Open,High,Low,Close,Volume,Base Value,Date (UTC),Time (UTC)
6.85e-06,6.87e-06,6.84e-06,6.85e-06,11130.70217976,0.07640169,2020-10-10,17:00:00
6.85e-06,6.87e-06,6.85e-06,6.87e-06,77979.07934711,0.53540673,2020-10-10,18:00:00
6.87e-06,6.88e-06,6.86e-06,6.87e-06,88691.99940863,0.6093178,2020-10-10,19:00:00
6.87e-06,6.87e-06,6.87e-06,6.87e-06,187.56676,0.00128858,2020-10-10,20:00:00
6.89e-06,6.89e-06,6.83e-06,6.87e-06,103422.32806733,0.70653136,2020-10-10,21:00:00
6.87e-06,6.9e-06,6.87e-06,6.88e-06,25486.87057657,0.17517829,2020-10-10,22:00:00
6.91e-06,6.91e-06,6.85e-06,6.85e-06,2941.253468,0.02025855,2020-10-10,23:00:00
6.85e-06,6.88e-06,6.83e-06,6.83e-06,11626.93550697,0.07980156,2020-10-11,00:00:00
6.87e-06,6.87e-06,6.84e-06,6.84e-06,1928.78848312,0.01322323,2020-10-11,01:00:00
6.85e-06,6.85e-06,6.83e-06,6.84e-06,33057.61097423,0.22597102,2020-10-11,02:00:00
6.83e-06,6.83e-06,6.78e-06,6.81e-06,11589.13695089,0.07910673,2020-10-11,03:00:00
6.83e-06,6.85e-06,6.81e-06,6.81e-06,5968.38731377,0.04068716,2020-10-11,04:00:00
6.85e-06,6.86e-06,6.83e-06,6.86e-06,8369.79635919,0.05724852,2020-10-11,05:00:00
6.86e-06,6.86e-06,6.82e-06,6.84e-06,1044.77346505,0.0071354,2020-10-11,06:00:00
6.82e-06,6.82e-06,6.82e-06,6.82e-06,3760.4502771,0.02564626,2020-10-11,07:00:00
6.81e-06,6.85e-06,6.81e-06,6.85e-06,8011.52090096,0.05473525,2020-10-11,08:00:00
6.84e-06,6.86e-06,6.84e-06,6.85e-06,15413.72072725,0.10554039,2020-10-11,09:00:00
6.86e-06,6.87e-06,6.85e-06,6.85e-06,4416.58307238,0.0303016,2020-10-11,10:00:00
6.86e-06,6.87e-06,6.86e-06,6.87e-06,602.70103035,0.00413796,2020-10-11,11:00:00
6.83e-06,6.85e-06,6.83e-06,6.83e-06,7669.38730103,0.05240698,2020-10-11,12:00:00
6.8e-06,6.81e-06,6.78e-06,6.8e-06,3759.23570246,0.02551833,2020-10-11,13:00:00
6.8e-06,6.8e-06,6.77e-06,6.77e-06,23573.98968487,0.15985405,2020-10-11,14:00:00
6.79e-06,6.79e-06,6.77e-06,6.79e-06,2749.69941171,0.01862712,2020-10-11,15:00:00
6.77e-06,6.87e-06,6.77e-06,6.87e-06,20960.94848339,0.14264568,2020-10-11,16:00:00
6.86e-06,6.9e-06,6.86e-06,6.89e-06,27554.97822348,0.1898822,2020-10-11,17:00:00
6.87e-06,6.87e-06,6.87e-06,6.87e-06,857.91225327,0.00589385,2020-10-11,18:00:00
6.85e-06,6.87e-06,6.82e-06,6.84e-06,208599.09223862,1.42540094,2020-10-11,19:00:00
6.85e-06,6.85e-06,6.81e-06,6.84e-06,208608.42230936,1.42299317,2020-10-11,20:00:00
6.82e-06,6.85e-06,6.81e-06,6.85e-06,51904.10310015,0.3546353,2020-10-11,21:00:00
6.85e-06,6.85e-06,6.81e-06,6.81e-06,20382.21705321,0.13902227,2020-10-11,22:00:00
6.81e-06,6.81e-06,6.8e-06,6.81e-06,1388.9309384,0.00945559,2020-10-11,23:00:00
6.78e-06,6.78e-06,6.78e-06,6.78e-06,193.04143431,0.00130882,2020-10-12,00:00:00
6.8e-06,6.84e-06,6.79e-06,6.84e-06,1144.88923758,0.00779395,2020-10-12,01:00:00
6.85e-06,6.85e-06,6.83e-06,6.84e-06,42825.19219269,0.2928189,2020-10-12,02:00:00
6.84e-06,6.85e-06,6.82e-06,6.83e-06,12411.75698077,0.08492568,2020-10-12,03:00:00
6.82e-06,6.82e-06,6.82e-06,6.82e-06,1371.37027085,0.00935273,2020-10-12,04:00:00
6.84e-06,6.86e-06,6.82e-06,6.86e-06,57017.09743423,0.39004645,2020-10-12,05:00:00
6.82e-06,6.82e-06,6.79e-06,6.79e-06,1531.30686585,0.0104292,2020-10-12,06:00:00
6.81e-06,6.81e-06,6.79e-06,6.79e-06,288.84224892,0.00196202,2020-10-12,07:00:00
6.8e-06,6.81e-06,6.78e-06,6.81e-06,6338.09776679,0.04313026,2020-10-12,08:00:00
6.82e-06,6.83e-06,6.82e-06,6.82e-06,7341.06258979,0.05006812,2020-10-12,09:00:00
6.83e-06,6.83e-06,6.78e-06,6.79e-06,49100.2547824,0.33377544,2020-10-12,10:00:00
6.79e-06,6.79e-06,6.76e-06,6.76e-06,6065.63294095,0.04104246,2020-10-12,11:00:00
6.75e-06,6.8e-06,6.75e-06,6.8e-06,31490.79741935,0.21334383,2020-10-12,12:00:00
6.78e-06,6.79e-06,6.76e-06,6.76e-06,35674.83407259,0.24185267,2020-10-12,13:00:00
6.78e-06,6.79e-06,6.75e-06,6.78e-06,5965.88526465,0.04048735,2020-10-12,14:00:00
6.79e-06,6.79e-06,6.74e-06,6.74e-06,12715.41434458,0.08593638,2020-10-12,15:00:00
6.75e-06,6.75e-06,6.73e-06,6.75e-06,3180.9022327,0.02143431,2020-10-12,16:00:00
6.74e-06,6.76e-06,6.73e-06,6.75e-06,81584.15023123,0.54968581,2020-10-12,17:00:00
6.77e-06,6.77e-06,6.72e-06,6.74e-06,29757.12938814,0.20105775,2020-10-12,18:00:00
6.75e-06,6.75e-06,6.74e-06,6.74e-06,19253.78125562,0.12982678,2020-10-12,19:00:00
6.74e-06,6.78e-06,6.74e-06,6.76e-06,6899.97901676,0.04661233,2020-10-12,20:00:00
6.75e-06,6.78e-06,6.73e-06,6.78e-06,79302.95969926,0.53471557,2020-10-12,21:00:00
6.76e-06,6.76e-06,6.7e-06,6.7e-06,11636.95078222,0.07824678,2020-10-12,22:00:00
6.7e-06,6.74e-06,6.7e-06,6.73e-06,40561.11531729,0.27241337,2020-10-12,23:00:00
6.71e-06,6.71e-06,6.71e-06,6.71e-06,2084.56827572,0.01398744,2020-10-13,00:00:00
6.72e-06,6.72e-06,6.69e-06,6.69e-06,3341.4209888,0.02242548,2020-10-13,01:00:00
6.72e-06,6.72e-06,6.68e-06,6.69e-06,110212.83268109,0.73702969,2020-10-13,02:00:00
6.69e-06,6.69e-06,6.67e-06,6.67e-06,18518.0753432,0.1236317,2020-10-13,03:00:00
6.69e-06,6.7e-06,6.69e-06,6.69e-06,4077.01112873,0.02731213,2020-10-13,04:00:00
6.69e-06,6.71e-06,6.68e-06,6.71e-06,5375.172789,0.03602426,2020-10-13,05:00:00
6.7e-06,6.71e-06,6.69e-06,6.7e-06,35160.39209013,0.23557833,2020-10-13,06:00:00
6.68e-06,6.7e-06,6.67e-06,6.7e-06,34296.68377392,0.22933311,2020-10-13,07:00:00
6.71e-06,6.73e-06,6.7e-06,6.73e-06,5184.25746329,0.03478175,2020-10-13,08:00:00
6.7e-06,6.73e-06,6.7e-06,6.7e-06,7646.22334164,0.0513646,2020-10-13,09:00:00
6.69e-06,6.71e-06,6.69e-06,6.7e-06,10832.08606245,0.07251131,2020-10-13,10:00:00
6.7e-06,6.72e-06,6.7e-06,6.72e-06,19775.48532624,0.13257024,2020-10-13,11:00:00
6.72e-06,6.73e-06,6.71e-06,6.73e-06,14359.33436745,0.09651458,2020-10-13,12:00:00
6.7e-06,6.71e-06,6.66e-06,6.67e-06,40819.62625286,0.27308312,2020-10-13,13:00:00
6.68e-06,6.72e-06,6.68e-06,6.72e-06,23475.52227638,0.15728406,2020-10-13,14:00:00
6.72e-06,6.73e-06,6.7e-06,6.72e-06,29026.10065355,0.1949333,2020-10-13,15:00:00
6.72e-06,6.73e-06,6.72e-06,6.73e-06,6614.52936121,0.04450699,2020-10-13,16:00:00
6.72e-06,6.72e-06,6.66e-06,6.66e-06,4730.07561604,0.03170534,2020-10-13,17:00:00
6.66e-06,6.66e-06,6.64e-06,6.65e-06,3471.31031689,0.0230941,2020-10-13,18:00:00
6.65e-06,6.66e-06,6.65e-06,6.65e-06,5432.21070047,0.03614018,2020-10-13,19:00:00
6.67e-06,6.67e-06,6.65e-06,6.67e-06,8443.08295683,0.05622566,2020-10-13,20:00:00
6.67e-06,6.67e-06,6.64e-06,6.64e-06,5654.04327088,0.03758795,2020-10-13,21:00:00
6.66e-06,6.66e-06,6.65e-06,6.65e-06,1283.93202322,0.00854248,2020-10-13,22:00:00
6.68e-06,6.69e-06,6.66e-06,6.68e-06,43127.06321423,0.28772509,2020-10-13,23:00:00
6.68e-06,6.69e-06,6.66e-06,6.66e-06,5453.56904076,0.03642438,2020-10-14,00:00:00
6.66e-06,6.68e-06,6.66e-06,6.68e-06,19853.12103746,0.13260987,2020-10-14,01:00:00
6.67e-06,6.67e-06,6.65e-06,6.65e-06,24430.46411331,0.1627925,2020-10-14,02:00:00
6.66e-06,6.66e-06,6.63e-06,6.66e-06,969.84662337,0.00645573,2020-10-14,03:00:00
6.67e-06,6.67e-06,6.67e-06,6.67e-06,199.01670962,0.00132743,2020-10-14,04:00:00
6.65e-06,6.67e-06,6.65e-06,6.67e-06,533.58606021,0.00355632,2020-10-14,05:00:00
6.65e-06,6.67e-06,6.64e-06,6.64e-06,8265.68618451,0.05497864,2020-10-14,06:00:00
6.67e-06,6.67e-06,6.63e-06,6.65e-06,12635.38605919,0.08400351,2020-10-14,07:00:00
6.63e-06,6.67e-06,6.63e-06,6.67e-06,10293.50865,0.06865092,2020-10-14,08:00:00
6.65e-06,6.67e-06,6.65e-06,6.65e-06,6850.27909629,0.04561758,2020-10-14,09:00:00
6.65e-06,6.65e-06,6.6e-06,6.6e-06,12369.31748892,0.0820738,2020-10-14,10:00:00
6.61e-06,6.61e-06,6.6e-06,6.61e-06,4971.38722801,0.03282448,2020-10-14,11:00:00
6.61e-06,6.61e-06,6.6e-06,6.6e-06,4476.17880993,0.02958417,2020-10-14,12:00:00
6.63e-06,6.64e-06,6.6e-06,6.62e-06,28401.45682683,0.18771474,2020-10-14,13:00:00
6.61e-06,6.64e-06,6.55e-06,6.56e-06,144397.85782808,0.95280709,2020-10-14,14:00:00
6.58e-06,6.6e-06,6.58e-06,6.58e-06,20964.54426779,0.13799415,2020-10-14,15:00:00
6.58e-06,6.6e-06,6.56e-06,6.57e-06,18548.86942063,0.12207423,2020-10-14,16:00:00
6.56e-06,6.58e-06,6.55e-06,6.58e-06,19473.98167775,0.12784328,2020-10-14,17:00:00
6.57e-06,6.57e-06,6.52e-06,6.54e-06,17685.24117893,0.11548561,2020-10-14,18:00:00
6.57e-06,6.57e-06,6.56e-06,6.56e-06,16896.76610052,0.11100827,2020-10-14,19:00:00
6.56e-06,6.56e-06,6.52e-06,6.52e-06,7330.21351657,0.04786542,2020-10-14,20:00:00
6.51e-06,6.53e-06,6.5e-06,6.5e-06,64866.7247758,0.42202948,2020-10-14,21:00:00
6.51e-06,6.52e-06,6.49e-06,6.49e-06,4430.2321977,0.02881739,2020-10-14,22:00:00
6.49e-06,6.5e-06,6.45e-06,6.49e-06,285373.45397466,1.84682351,2020-10-14,23:00:00
6.49e-06,6.49e-06,6.45e-06,6.45e-06,29501.14247,0.19072027,2020-10-15,00:00:00
6.47e-06,6.47e-06,6.42e-06,6.42e-06,37882.12031668,0.24392818,2020-10-15,01:00:00
6.44e-06,6.44e-06,6.42e-06,6.44e-06,43877.59414458,0.28190344,2020-10-15,02:00:00
6.44e-06,6.45e-06,6.42e-06,6.45e-06,27145.69206724,0.17503274,2020-10-15,03:00:00
6.45e-06,6.45e-06,6.43e-06,6.44e-06,17776.67792557,0.11446602,2020-10-15,04:00:00
6.44e-06,6.44e-06,6.44e-06,6.44e-06,12146.03676024,0.07822045,2020-10-15,05:00:00
6.46e-06,6.48e-06,6.46e-06,6.48e-06,5330.58747573,0.03452694,2020-10-15,06:00:00
6.48e-06,6.48e-06,6.47e-06,6.47e-06,9908.15399807,0.0641541,2020-10-15,07:00:00
6.48e-06,6.48e-06,6.45e-06,6.45e-06,3415.67198344,0.02204072,2020-10-15,08:00:00
6.45e-06,6.45e-06,6.39e-06,6.41e-06,55945.58731782,0.35854498,2020-10-15,09:00:00
6.4e-06,6.4e-06,6.37e-06,6.4e-06,41274.1223083,0.26354881,2020-10-15,10:00:00
6.38e-06,6.39e-06,6.38e-06,6.38e-06,30983.89866999,0.19768274,2020-10-15,11:00:00
6.38e-06,6.42e-06,6.37e-06,6.41e-06,67177.03815624,0.43026371,2020-10-15,12:00:00
6.42e-06,6.44e-06,6.41e-06,6.43e-06,14115.39177568,0.09070164,2020-10-15,13:00:00
6.45e-06,6.45e-06,6.42e-06,6.42e-06,67128.77458124,0.4314579,2020-10-15,14:00:00
6.43e-06,6.43e-06,6.4e-06,6.4e-06,43153.16783042,0.27648203,2020-10-15,15:00:00
6.42e-06,6.47e-06,6.41e-06,6.43e-06,1128763.22206747,7.29631125,2020-10-15,16:00:00
6.42e-06,6.48e-06,6.42e-06,6.48e-06,125544.0085846,0.80882858,2020-10-15,17:00:00
6.42e-06,6.44e-06,6.42e-06,6.42e-06,951072.7603289,6.10590837,2020-10-15,18:00:00
6.42e-06,6.42e-06,6.39e-06,6.39e-06,101581.42015723,0.65129356,2020-10-15,19:00:00
6.39e-06,6.4e-06,6.37e-06,6.4e-06,22807.63239614,0.14565511,2020-10-15,20:00:00
6.4e-06,6.4e-06,6.38e-06,6.38e-06,3474.57136631,0.02220286,2020-10-15,21:00:00
6.38e-06,6.38e-06,6.38e-06,6.38e-06,870.67112772,0.00555488,2020-10-15,22:00:00
6.41e-06,6.43e-06,6.41e-06,6.43e-06,5484.56878709,0.03517354,2020-10-15,23:00:00
6.45e-06,6.45e-06,6.44e-06,6.44e-06,3454.82784386,0.02226737,2020-10-16,00:00:00
6.42e-06,6.46e-06,6.42e-06,6.44e-06,83051.95282437,0.53488729,2020-10-16,01:00:00
6.45e-06,6.47e-06,6.45e-06,6.47e-06,391.2104,0.00252645,2020-10-16,02:00:00
6.47e-06,6.47e-06,6.45e-06,6.47e-06,1308.14299421,0.00845923,2020-10-16,03:00:00
6.48e-06,6.48e-06,6.4e-06,6.4e-06,127993.60673919,0.82234287,2020-10-16,04:00:00
6.43e-06,6.44e-06,6.42e-06,6.44e-06,5755.01264016,0.03695731,2020-10-16,05:00:00
6.4e-06,6.44e-06,6.4e-06,6.44e-06,8441.27769049,0.05435214,2020-10-16,06:00:00
6.44e-06,6.46e-06,6.42e-06,6.46e-06,1860.58585317,0.01198252,2020-10-16,07:00:00
6.42e-06,6.43e-06,6.42e-06,6.42e-06,6024.3880698,0.03867992,2020-10-16,08:00:00
6.46e-06,6.5e-06,6.46e-06,6.48e-06,58471.46355257,0.37818537,2020-10-16,09:00:00
6.46e-06,6.47e-06,6.45e-06,6.45e-06,47084.25611601,0.30391375,2020-10-16,10:00:00
6.46e-06,6.48e-06,6.45e-06,6.47e-06,14601.45887376,0.09428811,2020-10-16,11:00:00
6.47e-06,6.47e-06,6.44e-06,6.44e-06,31883.01948753,0.20588431,2020-10-16,12:00:00
6.46e-06,6.51e-06,6.46e-06,6.49e-06,112921.46655295,0.73384693,2020-10-16,13:00:00
6.51e-06,6.54e-06,6.49e-06,6.49e-06,41019.06977601,0.26690508,2020-10-16,14:00:00
6.49e-06,6.55e-06,6.49e-06,6.54e-06,133748.49583817,0.87269706,2020-10-16,15:00:00
6.54e-06,6.57e-06,6.53e-06,6.57e-06,24470.77374307,0.16019374,2020-10-16,16:00:00
6.57e-06,6.61e-06,6.57e-06,6.59e-06,57580.70945348,0.37962765,2020-10-16,17:00:00
6.6e-06,6.68e-06,6.6e-06,6.64e-06,40161.38457978,0.26634723,2020-10-16,18:00:00
6.64e-06,6.69e-06,6.63e-06,6.68e-06,78609.50526128,0.52492059,2020-10-16,19:00:00
6.69e-06,6.75e-06,6.69e-06,6.72e-06,111208.07051762,0.74592866,2020-10-16,20:00:00
6.74e-06,6.91e-06,6.71e-06,6.89e-06,313097.9898679,2.13153535,2020-10-16,21:00:00
6.89e-06,6.89e-06,6.83e-06,6.86e-06,157814.08479259,1.07994993,2020-10-16,22:00:00
6.9e-06,6.98e-06,6.88e-06,6.97e-06,1369698.83767014,9.53757426,2020-10-16,23:00:00
6.99e-06,7.04e-06,6.87e-06,6.91e-06,136824.40139242,0.95018591,2020-10-17,00:00:00
6.88e-06,6.97e-06,6.87e-06,6.95e-06,18880.9151275,0.13007138,2020-10-17,01:00:00
6.94e-06,7.06e-06,6.94e-06,7.03e-06,79658.21202656,0.55876729,2020-10-17,02:00:00
7.02e-06,7.35e-06,7.02e-06,7.29e-06,257989.62577606,1.86314018,2020-10-17,03:00:00
7.3e-06,7.3e-06,7.21e-06,7.24e-06,96128.05921168,0.6958203,2020-10-17,04:00:00
7.24e-06,7.28e-06,7.13e-06,7.14e-06,91053.18690908,0.65591478,2020-10-17,05:00:00
7.16e-06,7.19e-06,7.13e-06,7.17e-06,66852.28854342,0.4783413,2020-10-17,06:00:00
7.15e-06,7.2e-06,7.15e-06,7.17e-06,43572.68550791,0.31255449,2020-10-17,07:00:00
7.17e-06,7.36e-06,7.17e-06,7.26e-06,102303.07513534,0.74638138,2020-10-17,08:00:00
7.27e-06,7.29e-06,7.14e-06,7.15e-06,142043.64182953,1.01867577,2020-10-17,09:00:00
7.13e-06,7.18e-06,7.12e-06,7.18e-06,150590.9782705,1.07278004,2020-10-17,10:00:00
7.18e-06,7.18e-06,7.14e-06,7.15e-06,10056.46966662,0.07200406,2020-10-17,11:00:00
7.18e-06,7.27e-06,7.17e-06,7.24e-06,53601.87050398,0.38865969,2020-10-17,12:00:00
7.21e-06,7.23e-06,7.13e-06,7.16e-06,42833.94872158,0.30664549,2020-10-17,13:00:00
7.14e-06,7.16e-06,7.08e-06,7.13e-06,240968.73122865,1.71377058,2020-10-17,14:00:00
7.15e-06,7.15e-06,7.1e-06,7.12e-06,29509.90818439,0.20970174,2020-10-17,15:00:00
7.1e-06,7.1e-06,7.05e-06,7.05e-06,34599.1563399,0.24428062,2020-10-17,16:00:00
7.03e-06,7.11e-06,7.02e-06,7.1e-06,31262.22401679,0.22083554,2020-10-17,17:00:00
7.11e-06,7.14e-06,7.11e-06,7.11e-06,14527.41327246,0.10331353,2020-10-17,18:00:00
7.11e-06,7.13e-06,7.08e-06,7.13e-06,121543.6780824,0.8638793,2020-10-17,19:00:00
7.14e-06,7.15e-06,7.12e-06,7.15e-06,67948.16129096,0.48491817,2020-10-17,20:00:00
7.13e-06,7.17e-06,7.11e-06,7.11e-06,32827.48341182,0.23438312,2020-10-17,21:00:00
