Open,High,Low,Close,Volume,Base Value,Date (UTC),Time (UTC)
11344.664,11379.7,11344.664,11366.299,32.33918812,367328.47930325,2020-10-10,17:00:00
11363.61,11380.62,11351.27,11370.58,16.21151569,184231.56378355,2020-10-10,18:00:00
11371.15,11389.14,11355.906,11367.939,43.54735287,495750.19514899,2020-10-10,19:00:00
11367.789,11378.44,11349.62,11374.789,9.48489147,107776.7042629,2020-10-10,20:00:00
11373.99,11384.996,11330.19,11383.527,11.57008844,131449.82473889,2020-10-10,21:00:00
11379.59,11379.59,11343.5,11359.0,18.7000529,212352.24220329,2020-10-10,22:00:00
11351.58,11356.29,11268.568,11305.489,32.61845961,368895.03350097,2020-10-10,23:00:00
11301.55,11330.415,11284.41,11307.77,6.26781313,70894.42315946,2020-10-11,00:00:00
11316.37,11399.361,11312.83,11380.58,39.01639477,443541.01831074,2020-10-11,01:00:00
11378.199,11381.339,11353.09,11359.489,4.77110576,54223.95488412,2020-10-11,02:00:00
11359.786,11361.94,11320.0,11337.999,4.9540514,56176.3464302,2020-10-11,03:00:00
11338.0,11347.98,11311.722,11326.57,1.80915768,20488.31929542,2020-10-11,04:00:00
11321.7,11349.7,11316.55,11343.53,4.01700621,45531.71340238,2020-10-11,05:00:00
11347.71,11371.988,11340.901,11365.63,6.85745934,77908.63432873,2020-10-11,06:00:00
11365.79,11375.8,11351.14,11356.7,1.81200839,20583.33430659,2020-10-11,07:00:00
11355.321,11367.67,11343.914,11355.46,4.45648506,50585.29775785,2020-10-11,08:00:00
11348.87,11362.409,11333.19,11355.281,3.53764951,40147.16767566,2020-10-11,09:00:00
11358.04,11403.13,11348.61,11398.62,19.06738388,216919.54042475,2020-10-11,10:00:00
11398.63,11408.509,11353.851,11377.59,11.71443959,133238.05128532,2020-10-11,11:00:00
11377.299,11383.1,11353.92,11361.252,9.95328469,113170.89053172,2020-10-11,12:00:00
11365.134,11384.63,11343.276,11370.252,16.53483229,187836.46921063,2020-10-11,13:00:00
11372.162,11442.99,11359.816,11378.06,65.14583234,742595.41801612,2020-10-11,14:00:00
11383.93,11438.439,11383.201,11407.85,26.39995855,301396.99480942,2020-10-11,15:00:00
11408.816,11426.69,11369.89,11401.179,22.10639328,252070.24878909,2020-10-11,16:00:00
11402.83,11430.652,11402.83,11425.149,22.28241705,254428.85456602,2020-10-11,17:00:00
11425.421,11432.129,11392.26,11410.228,5.30184598,60524.81521064,2020-10-11,18:00:00
11416.579,11420.959,11304.709,11341.479,52.22977653,593677.43754648,2020-10-11,19:00:00
11339.0,11360.38,11335.31,11336.023,14.35689578,162902.99962562,2020-10-11,20:00:00
11336.59,11346.9,11246.512,11330.36,28.84719512,326001.83923755,2020-10-11,21:00:00
11330.766,11360.823,11300.93,11360.823,19.84149761,224874.75678912,2020-10-11,22:00:00
11357.5,11398.66,11353.01,11370.79,28.51542694,324162.47194683,2020-10-11,23:00:00
11376.61,11385.58,11352.111,11380.68,14.62142451,166227.97952868,2020-10-12,00:00:00
11385.859,11409.669,11358.75,11399.99,9.91648839,112906.62838481,2020-10-12,01:00:00
11400.0,11412.837,11376.02,11401.351,2.09138098,23819.26918819,2020-10-12,02:00:00
11401.5,11412.378,11387.301,11394.182,7.7661742,88555.40726731,2020-10-12,03:00:00
11385.177,11398.969,11371.331,11391.054,6.09623767,69375.58001462,2020-10-12,04:00:00
11389.05,11414.45,11380.47,11402.88,10.10129203,115126.71440954,2020-10-12,05:00:00
11405.668,11407.09,11341.487,11344.09,12.75070604,144936.16093185,2020-10-12,06:00:00
11342.551,11393.97,11334.306,11377.374,6.21186474,70595.96054567,2020-10-12,07:00:00
11383.089,11390.659,11358.28,11358.28,9.0679886,103134.58679592,2020-10-12,08:00:00
11359.9,11375.07,11319.64,11360.349,16.92304346,191885.6438118,2020-10-12,09:00:00
11364.101,11367.409,11200.0,11272.55,66.2406398,745690.78004043,2020-10-12,10:00:00
11268.92,11275.8,11247.0,11256.223,17.97935579,202437.9905051,2020-10-12,11:00:00
11252.062,11298.039,11251.39,11298.039,26.34768989,297068.86782118,2020-10-12,12:00:00
11297.09,11530.0,11282.29,11491.059,85.60765312,977290.4247037,2020-10-12,13:00:00
11494.35,11504.53,11453.399,11475.001,27.13898063,311580.79142967,2020-10-12,14:00:00
11480.0,11595.889,11480.0,11551.851,66.75937639,770013.97649599,2020-10-12,15:00:00
11556.839,11586.63,11532.2,11560.117,102.19178499,1181479.33778841,2020-10-12,16:00:00
11563.863,11571.699,11531.781,11561.49,20.86201015,241090.90787645,2020-10-12,17:00:00
11564.89,11576.85,11548.64,11558.89,18.19182909,210427.71585643,2020-10-12,18:00:00
11558.892,11579.519,11548.45,11555.68,23.3861706,270340.68983389,2020-10-12,19:00:00
11556.359,11582.355,11540.951,11571.34,11.93191645,138027.54749461,2020-10-12,20:00:00
11568.798,11724.002,11568.798,11691.991,48.86849456,569010.79517272,2020-10-12,21:00:00
11695.0,11710.228,11643.71,11665.179,18.43966741,215431.42809357,2020-10-12,22:00:00
11666.285,11666.285,11494.101,11542.13,77.82651135,899538.64969183,2020-10-12,23:00:00
11539.529,11545.81,11447.547,11498.539,29.70667257,341650.48307796,2020-10-13,00:00:00
11493.182,11518.68,11460.792,11514.31,25.33665279,291129.39862398,2020-10-13,01:00:00
11514.0,11514.0,11466.189,11495.919,25.44863286,292481.64122646,2020-10-13,02:00:00
11491.796,11491.796,11420.404,11468.631,36.26714095,415560.20200222,2020-10-13,03:00:00
11462.859,11492.757,11456.129,11488.159,12.85345258,147486.83302141,2020-10-13,04:00:00
11488.17,11524.999,11485.74,11516.52,12.23462121,140834.42991342,2020-10-13,05:00:00
11513.84,11515.25,11469.293,11487.395,10.77891916,123814.72984984,2020-10-13,06:00:00
11483.571,11483.571,11440.099,11460.343,18.46070069,211472.73055733,2020-10-13,07:00:00
11458.0,11497.568,11450.799,11495.48,15.80842662,181451.47416806,2020-10-13,08:00:00
11494.236,11499.495,11473.391,11473.711,4.58728128,52708.32636634,2020-10-13,09:00:00
11474.002,11565.05,11381.839,11530.809,39.34136818,451225.92810862,2020-10-13,10:00:00
11527.135,11531.0,11480.5,11495.788,30.84307188,355112.01914722,2020-10-13,11:00:00
11485.86,11516.611,11434.969,11451.215,87.95243096,1009346.00091434,2020-10-13,12:00:00
11447.15,11453.29,11331.22,11356.249,53.84673264,612325.92039477,2020-10-13,13:00:00
11349.58,11395.967,11315.88,11395.967,34.01192079,386107.29223171,2020-10-13,14:00:00
11395.967,11425.072,11380.613,11392.069,14.67252219,167305.08221704,2020-10-13,15:00:00
11386.989,11401.13,11349.182,11401.13,19.80370547,225318.53979819,2020-10-13,16:00:00
11405.239,11408.46,11362.87,11370.404,17.01359362,193724.89081551,2020-10-13,17:00:00
11366.649,11408.08,11355.581,11389.187,20.94469183,238554.63685947,2020-10-13,18:00:00
11385.715,11437.004,11377.291,11395.46,14.06353181,160443.71938226,2020-10-13,19:00:00
11401.304,11438.169,11399.611,11437.431,20.37294847,232736.03828147,2020-10-13,20:00:00
11435.213,11466.036,11427.37,11457.962,11.83215483,135514.16109249,2020-10-13,21:00:00
11457.962,11466.031,11433.681,11448.211,19.77063439,226427.93257722,2020-10-13,22:00:00
11450.165,11463.327,11419.225,11429.255,11.26815005,128936.7250963,2020-10-13,23:00:00
11428.521,11488.37,11417.47,11485.0,10.15725893,116471.20183213,2020-10-14,00:00:00
11486.001,11488.37,11443.337,11459.169,4.05444398,46452.24622216,2020-10-14,01:00:00
11454.38,11458.739,11428.07,11434.904,4.61434929,52783.84358293,2020-10-14,02:00:00
11439.388,11455.839,11398.99,11398.99,17.24146801,197058.23102942,2020-10-14,03:00:00
11399.468,11427.414,11380.0,11397.093,10.71946625,122267.20947879,2020-10-14,04:00:00
11393.371,11420.012,11389.138,11419.269,6.2574273,71353.96691037,2020-10-14,05:00:00
11420.011,11427.495,11399.999,11426.121,10.53579313,120262.96098663,2020-10-14,06:00:00
11434.241,11434.241,11394.791,11416.92,5.03496298,57433.70703065,2020-10-14,07:00:00
11422.515,11458.473,11421.113,11451.939,5.72513637,65482.14335311,2020-10-14,08:00:00
11451.28,11459.49,11408.59,11416.772,18.01353168,206202.89071378,2020-10-14,09:00:00
11427.96,11431.69,11368.15,11386.933,7.19849371,81981.37007196,2020-10-14,10:00:00
11383.051,11419.27,11371.38,11373.555,7.60558145,86713.1278468,2020-10-14,11:00:00
11368.434,11414.919,11360.388,11409.72,19.58445327,223060.16005717,2020-10-14,12:00:00
11413.828,11557.866,11413.801,11535.353,34.29904524,394435.80989802,2020-10-14,13:00:00
11538.873,11541.091,11372.854,11396.547,51.65705283,590146.39848536,2020-10-14,14:00:00
11391.941,11420.182,11296.205,11323.096,50.32475953,571909.32457952,2020-10-14,15:00:00
11323.493,11365.529,11305.792,11352.579,27.30696163,309636.5328697,2020-10-14,16:00:00
11346.609,11362.415,11329.26,11352.639,16.77981985,190462.3581332,2020-10-14,17:00:00
11345.043,11366.182,11302.177,11347.134,22.62807897,256537.36573114,2020-10-14,18:00:00
11347.132,11383.905,11347.132,11350.001,16.98498418,193057.69095754,2020-10-14,19:00:00
11350.03,11398.549,11350.004,11395.608,18.57164247,211305.13183319,2020-10-14,20:00:00
11395.609,11418.653,11385.013,11385.853,8.53228278,97278.67503496,2020-10-14,21:00:00
11391.568,11422.908,11384.571,11407.15,14.49627477,165254.62700954,2020-10-14,22:00:00
11404.436,11442.744,11393.072,11431.536,18.56503713,211875.8644602,2020-10-14,23:00:00
11431.638,11436.239,11401.431,11407.876,8.35146712,95316.47099328,2020-10-15,00:00:00
11407.948,11426.318,11382.571,11400.568,13.43700088,153112.02250556,2020-10-15,01:00:00
11400.567,11409.259,11370.873,11370.873,18.62978258,212349.47593835,2020-10-15,02:00:00
11370.873,11424.999,11370.873,11389.653,60.74018457,692114.02037969,2020-10-15,03:00:00
11390.53,11413.576,11379.335,11404.28,7.5455701,86022.71757435,2020-10-15,04:00:00
11401.729,11420.269,11380.551,11413.707,5.93609303,67672.68950656,2020-10-15,05:00:00
11409.17,11430.0,11391.501,11406.438,6.27772293,71610.48782143,2020-10-15,06:00:00
11410.32,11415.308,11387.53,11406.41,4.70275192,53629.94882514,2020-10-15,07:00:00
11410.103,11410.75,11343.086,11347.079,14.90973766,169465.43253175,2020-10-15,08:00:00
11347.911,11350.854,11272.278,11315.077,34.81301717,393858.84263438,2020-10-15,09:00:00
11314.278,11340.397,11305.431,11328.531,5.89186192,66730.22942678,2020-10-15,10:00:00
11333.792,11342.765,11314.82,11314.82,14.80188478,167739.42835589,2020-10-15,11:00:00
11313.811,11400.86,11288.064,11382.215,13.38589704,152003.92038332,2020-10-15,12:00:00
11384.979,11422.343,11368.97,11415.427,6.06365132,69085.50062683,2020-10-15,13:00:00
11405.88,11411.786,11375.071,11398.578,12.94254615,147430.80533654,2020-10-15,14:00:00
11397.462,11429.478,11379.061,11407.996,21.50205749,245106.90525114,2020-10-15,15:00:00
11406.44,11478.151,11378.138,11393.564,43.46536789,496487.17650763,2020-10-15,16:00:00
11393.52,11490.151,11391.002,11473.37,42.07620401,481853.72609466,2020-10-15,17:00:00
11478.219,11495.741,11463.711,11479.34,15.19530465,174441.40591799,2020-10-15,18:00:00
11486.043,11540.0,11400.638,11533.11,63.02370022,725460.77324135,2020-10-15,19:00:00
11537.36,11615.871,11530.643,11549.279,53.02636202,613665.86341455,2020-10-15,20:00:00
11538.233,11538.457,11462.506,11504.48,35.7605578,411282.32590584,2020-10-15,21:00:00
11516.438,11526.379,11485.49,11491.697,14.23420302,163840.48899419,2020-10-15,22:00:00
11489.332,11513.873,11480.62,11510.0,7.62331811,87689.69206021,2020-10-15,23:00:00
11510.0,11520.223,11481.05,11514.861,11.12188984,127918.72842739,2020-10-16,00:00:00
11516.217,11551.182,11512.93,11534.571,7.11351542,82080.71679102,2020-10-16,01:00:00
11546.527,11546.527,11523.149,11530.026,3.60315128,41560.35296161,2020-10-16,02:00:00
11530.047,11540.66,11498.465,11516.54,5.55281399,63922.38532165,2020-10-16,03:00:00
11511.23,11511.23,11169.744,11284.42,142.09931766,1605304.11435732,2020-10-16,04:00:00
11278.132,11365.329,11278.132,11353.34,16.54091904,187611.56972239,2020-10-16,05:00:00
11345.541,11360.789,11317.089,11328.34,9.62763208,109165.25460842,2020-10-16,06:00:00
11339.519,11345.375,11316.574,11320.989,6.90618182,78264.73391522,2020-10-16,07:00:00
11322.75,11347.631,11310.115,11312.525,9.26867657,104978.17765749,2020-10-16,08:00:00
11312.163,11312.163,11218.93,11248.041,32.90945762,370486.68232388,2020-10-16,09:00:00
11264.779,11332.322,11264.779,11307.02,5.22446988,59016.18814661,2020-10-16,10:00:00
11309.803,11395.84,11308.661,11375.29,22.12042862,250875.65744695,2020-10-16,11:00:00
11373.681,11399.979,11351.154,11382.58,12.98383808,147683.77293258,2020-10-16,12:00:00
11376.362,11387.77,11341.461,11362.73,14.65942372,166484.56441481,2020-10-16,13:00:00
11363.899,11393.967,11320.151,11338.179,23.22933382,263782.50293316,2020-10-16,14:00:00
11334.907,11349.479,11288.551,11337.07,17.05636988,193115.82916771,2020-10-16,15:00:00
11339.54,11359.54,11316.235,11355.019,45.69135906,518199.6814429,2020-10-16,16:00:00
11355.029,11364.056,11326.491,11341.688,32.38210229,367335.50863285,2020-10-16,17:00:00
11345.5,11380.65,11341.941,11376.38,22.00531922,250210.64140578,2020-10-16,18:00:00
11374.436,11377.331,11330.14,11330.14,24.82591339,282027.1082998,2020-10-16,19:00:00
11324.06,11325.47,11282.824,11325.47,26.26870076,297091.60858414,2020-10-16,20:00:00
11325.359,11348.6,11308.797,11348.6,7.64994102,86629.32395912,2020-10-16,21:00:00
11348.399,11360.763,11332.822,11360.75,9.80872814,111338.78453578,2020-10-16,22:00:00
11360.759,11364.273,11319.0,11328.549,60.66231824,688464.42414203,2020-10-16,23:00:00
11333.389,11335.349,11279.749,11310.35,18.51872122,209295.22490497,2020-10-17,00:00:00
11313.599,11356.167,11301.92,11342.85,7.69153852,87142.1665763,2020-10-17,01:00:00
11346.195,11360.374,11332.92,11355.607,4.13205246,46898.98236587,2020-10-17,02:00:00
11355.611,11372.83,11337.53,11372.83,5.40775204,61359.8999414,2020-10-17,03:00:00
11369.119,11375.44,11350.0,11357.459,4.13681116,46988.43256958,2020-10-17,04:00:00
11357.459,11370.872,11343.941,11362.519,3.30182036,37483.93669828,2020-10-17,05:00:00
11363.6,11390.371,11347.57,11353.56,1.37034048,15576.24018018,2020-10-17,06:00:00
11357.859,11373.669,11347.79,11353.49,1.05135886,11943.60492579,2020-10-17,07:00:00
11357.48,11362.97,11333.35,11334.92,4.19038618,47554.98809195,2020-10-17,08:00:00
11331.35,11351.759,11324.1,11346.35,2.18965244,24819.58376921,2020-10-17,09:00:00
11346.775,11362.5,11340.43,11357.7,3.55872874,40396.70408617,2020-10-17,10:00:00
11356.45,11364.119,11346.76,11354.202,3.01627724,34246.29659328,2020-10-17,11:00:00
11354.175,11362.133,11330.136,11357.67,5.66280296,64247.18687648,2020-10-17,12:00:00
11357.794,11364.546,11320.23,11331.743,18.14436224,205842.08991743,2020-10-17,13:00:00
11334.872,11368.832,11273.94,11366.43,22.18644815,251095.31586505,2020-10-17,14:00:00
11370.0,11408.22,11336.661,11347.87,11.97691728,136226.20538275,2020-10-17,15:00:00
11348.68,11354.922,11307.961,11331.25,13.73778205,155659.86142251,2020-10-17,16:00:00
11333.17,11354.46,11324.4,11350.009,11.24324268,127467.00530634,2020-10-17,17:00:00
11351.249,11356.4,11345.604,11356.255,9.2093869,104528.25121814,2020-10-17,18:00:00
11356.255,11369.71,11341.706,11353.112,13.13275199,149146.73803457,2020-10-17,19:00:00
11351.03,11367.76,11329.51,11360.18,14.16533518,160776.80349724,2020-10-17,20:00:00
11360.909,11373.578,11347.397,11351.364,8.70955122,98959.20701879,2020-10-17,21:00:00
11350.214,11361.269,11342.929,11352.285,8.47685987,96231.47481168,2020-10-17,22:00:00
11352.274,11378.239,11350.24,11370.94,6.88895492,78290.61746402,2020-10-17,23:00:00
11372.397,11393.37,11357.961,11393.356,8.24503695,93781.14080232,2020-10-18,00:00:00
11375.3,11408.257,11375.3,11401.04,6.66366982,75932.60405811,2020-10-18,01:00:00
11397.13,11397.87,11372.877,11386.019,8.56260608,97461.56877462,2020-10-18,02:00:00
11387.34,11393.5,11374.06,11379.59,2.78761462,31740.59332253,2020-10-18,03:00:00
11379.596,11393.863,11376.602,11377.854,3.09056817,35193.69111975,2020-10-18,04:00:00
11382.927,11406.304,11382.339,11400.37,1.87318247,21344.13350704,2020-10-18,05:00:00
11400.371,11464.719,11391.057,11435.098,19.31816572,220820.22149918,2020-10-18,06:00:00
11461.161,11461.81,11436.62,11460.41,4.37906134,50127.09473565,2020-10-18,07:00:00
11460.41,11479.55,11429.271,11437.44,6.56256906,75221.11184973,2020-10-18,08:00:00
11438.76,11443.17,11418.366,11418.366,1.20366175,13764.52029228,2020-10-18,09:00:00
11412.58,11433.188,11412.58,11427.3,1.54229825,17616.88026815,2020-10-18,10:00:00
11419.09,11441.62,11419.09,11424.843,2.83948168,32462.19422581,2020-10-18,11:00:00
11431.998,11440.697,11423.807,11426.09,1.73399917,19821.75133345,2020-10-18,12:00:00
11426.75,11449.35,11426.75,11447.2,3.37041268,38560.06273785,2020-10-18,13:00:00
11449.0,11496.76,11437.671,11441.58,13.57109415,155661.94913336,2020-10-18,14:00:00
11446.659,11466.06,11438.421,11460.873,3.91184245,44794.80574802,2020-10-18,15:00:00
11460.877,11476.868,11441.35,11469.072,9.8920422,113345.69201253,2020-10-18,16:00:00
11471.91,11476.1,11457.426,11474.548,12.34757087,141532.24357076,2020-10-18,17:00:00
11472.034,11485.479,11450.0,11452.093,26.48367719,303501.99180986,2020-10-18,18:00:00
11451.905,11462.537,11443.212,11443.212,12.39938926,141978.16544028,2020-10-18,19:00:00
11445.84,11449.91,11424.503,11447.528,9.03197005,103314.24174725,2020-10-18,20:00:00
11448.455,11471.049,11446.22,11464.534,15.72563626,180163.25057132,2020-10-18,21:00:00
11464.0,11483.118,11458.021,11469.77,8.51253895,97621.24335433,2020-10-18,22:00:00
11469.71,11519.321,11460.7,11514.865,19.60786246,225480.65247723,2020-10-18,23:00:00
11518.247,11544.063,11459.553,11482.21,27.56462968,317004.12624967,2020-10-19,00:00:00
11478.86,11488.085,11468.48,11468.48,4.63637081,53207.97489051,2020-10-19,01:00:00
11468.48,11482.86,11447.528,11462.801,3.66049788,41975.99197115,2020-10-19,02:00:00
11469.945,11472.26,11417.969,11421.94,4.47103178,51142.08066181,2020-10-19,03:00:00
11426.027,11450.05,11417.04,11443.93,5.96282336,68225.55384525,2020-10-19,04:00:00
11448.98,11454.78,11428.701,11446.895,3.48112059,39813.35236425,2020-10-19,05:00:00
11446.922,11463.839,11429.399,11452.97,6.60785461,75608.34796344,2020-10-19,06:00:00
11458.17,11473.86,11449.32,11467.711,5.23343916,59997.63564655,2020-10-19,07:00:00
11467.711,11478.85,11450.13,11470.18,5.22402815,59922.10958866,2020-10-19,08:00:00
11474.63,11493.001,11462.25,11493.001,7.84529749,90069.74980926,2020-10-19,09:00:00
11493.05,11503.839,11466.281,11484.45,6.72201249,77212.21181768,2020-10-19,10:00:00
11487.31,11530.17,11479.561,11489.99,7.53466791,86681.17619404,2020-10-19,11:00:00
11488.649,11538.27,11477.79,11522.48,14.5129899,167188.33719815,2020-10-19,12:00:00
11522.48,11678.0,11522.48,11649.501,73.12408163,849885.18057478,2020-10-19,13:00:00
11650.0,11685.41,11621.912,11660.7,25.92275851,302021.46077387,2020-10-19,14:00:00
11665.37,11827.076,11647.321,11812.0,108.61770582,1275949.44299655,2020-10-19,15:00:00
11812.0,11835.78,11762.27,11774.454,23.84251588,281037.68402747,2020-10-19,16:00:00
11771.603,11783.561,11731.72,11731.99,21.53322703,253209.49837722,2020-10-19,17:00:00
11734.76,11763.659,11678.381,11680.0,49.11873861,576310.42736531,2020-10-19,18:00:00
11677.716,11703.04,11670.892,11696.43,26.28619319,307224.07799651,2020-10-19,19:00:00
11699.159,11739.804,11677.0,11735.894,13.09352732,153290.25703347,2020-10-19,20:00:00
11733.58,11765.0,11707.992,11754.996,27.82281636,326886.94127672,2020-10-19,21:00:00
11754.94,11788.359,11724.49,11744.52,25.45014778,299380.26103363,2020-10-19,22:00:00
11744.224,11762.85,11717.65,11759.02,11.70176242,137392.96297223,2020-10-19,23:00:00
11764.68,11767.17,11714.878,11735.743,25.59100955,300254.41677162,2020-10-20,00:00:00
11729.607,11742.449,11687.68,11702.289,15.75160182,184350.34135804,2020-10-20,01:00:00
11698.87,11735.19,11698.699,11731.002,7.75010096,90794.56752935,2020-10-20,02:00:00
11725.661,11771.459,11712.88,11744.46,11.98042967,140724.5710136,2020-10-20,03:00:00
11746.31,11764.48,11728.62,11731.979,4.51497507,53024.60168181,2020-10-20,04:00:00
11730.55,11768.97,11720.23,11763.0,5.36549967,63028.89581752,2020-10-20,05:00:00
11760.0,11805.75,11745.95,11793.12,7.81187738,92036.46566739,2020-10-20,06:00:00
11794.51,11857.27,11719.427,11750.182,27.96037818,329962.03259765,2020-10-20,07:00:00
11738.827,11768.047,11711.56,11749.155,20.6453674,242467.26533463,2020-10-20,08:00:00
11749.49,11824.82,11738.371,11800.322,6.79990883,80103.31342846,2020-10-20,09:00:00
11796.331,11853.368,11788.42,11843.808,11.9179687,140900.23258832,2020-10-20,10:00:00
11843.35,11936.99,11745.38,11780.248,85.03193661,1008700.26630653,2020-10-20,11:00:00
11783.34,11900.0,11770.4,11893.66,37.16946042,439804.19012915,2020-10-20,12:00:00
11892.049,11952.8,11841.109,11932.62,22.72515261,270466.42198105,2020-10-20,13:00:00
11938.99,11959.99,11880.85,11928.879,32.51911503,387738.81113238,2020-10-20,14:00:00
11926.99,11993.987,11900.149,11939.188,51.41157613,614190.32351411,2020-10-20,15:00:00
11936.23,11995.99,11917.534,11979.96,40.74903028,487969.02838373,2020-10-20,16:00:00
11979.997,12053.511,11962.44,11974.1,60.0246137,720136.70485622,2020-10-20,17:00:00
11973.68,11986.869,11931.02,11971.94,24.51303697,292973.70982093,2020-10-20,18:00:00
11976.379,11990.07,11909.176,11933.58,32.50857108,388225.82335232,2020-10-20,19:00:00
11924.41,11930.24,11871.371,11906.05,27.14178397,322933.33766643,2020-10-20,20:00:00
11906.07,11944.36,11890.17,11936.775,14.89554187,177562.04854664,2020-10-20,21:00:00
11936.77,11968.068,11936.77,11967.75,24.36587166,291161.2230804,2020-10-20,22:00:00
11968.025,11976.409,11906.0,11926.062,13.60610573,162509.31638093,2020-10-20,23:00:00
11926.062,11997.61,11906.02,11996.315,15.20576123,181668.0868579,2020-10-21,00:00:00
11996.327,12038.53,11982.8,12005.84,13.97844578,167916.1545838,2020-10-21,01:00:00
12012.34,12140.0,11994.58,12140.0,31.1361307,376022.07893026,2020-10-21,02:00:00
12140.0,12248.858,12140.0,12207.29,34.99603888,427046.72137137,2020-10-21,03:00:00
12206.34,12319.684,12188.169,12289.858,22.16034842,271894.92009332,2020-10-21,04:00:00
12290.0,12295.0,12236.82,12253.319,22.70697925,278496.45267777,2020-10-21,05:00:00
12251.123,12299.21,12243.63,12252.52,25.29583797,310386.31743292,2020-10-21,06:00:00
12253.24,12264.19,12133.373,12203.395,45.48483227,554866.77218249,2020-10-21,07:00:00
12203.38,12216.31,12154.38,12157.949,11.6846802,142247.49975155,2020-10-21,08:00:00
12157.949,12211.42,12146.992,12205.0,6.16281529,75070.09244263,2020-10-21,09:00:00
12211.36,12265.29,12205.241,12230.15,22.07270681,270055.7861595,2020-10-21,10:00:00
12228.251,12382.924,12193.59,12344.09,46.21605435,568068.20699748,2020-10-21,11:00:00
12350.36,12450.171,12294.148,12430.69,83.60999347,1035622.01215535,2020-10-21,12:00:00
12430.079,12491.72,12371.588,12483.445,95.89717614,1192702.5522294,2020-10-21,13:00:00
12493.0,12888.0,12441.419,12745.95,254.20466917,3228524.67638141,2020-10-21,14:00:00
12741.04,12757.427,12630.55,12753.668,72.20971249,917546.30453995,2020-10-21,15:00:00
12754.41,12919.52,12746.19,12850.3,140.04068986,1799810.50029734,2020-10-21,16:00:00
12851.25,12879.32,12766.57,12791.33,41.42353276,530993.21187092,2020-10-21,17:00:00
12793.755,12815.65,12745.63,12776.771,39.32639329,502619.87276147,2020-10-21,18:00:00
12781.543,12808.524,12677.21,12700.54,84.19436339,1073608.86231185,2020-10-21,19:00:00
12704.471,12849.12,12703.999,12849.12,46.98236862,600964.37233545,2020-10-21,20:00:00
12849.119,12984.991,12801.132,12942.12,86.39637289,1113796.0996386,2020-10-21,21:00:00
12941.959,13233.672,12930.09,13228.559,163.61414025,2138312.78478832,2020-10-21,22:00:00
13231.25,13250.99,12754.09,12813.98,165.78786017,2142772.48451659,2020-10-21,23:00:00
