Open,High,Low,Close,Volume,Base Value,Date (UTC),Time (UTC)
372.651,375.054,372.651,373.091,104.34810252,38958.34966244,2020-10-10,17:00:00
372.916,375.24,372.857,374.48,76.89856784,28785.80889333,2020-10-10,18:00:00
373.994,375.318,373.681,374.174,161.00560125,60405.78197766,2020-10-10,19:00:00
374.173,374.793,373.567,374.575,57.79957009,21613.79618652,2020-10-10,20:00:00
373.654,375.7,371.26,375.352,239.88631286,89422.91645923,2020-10-10,21:00:00
375.117,375.485,374.348,374.839,245.53069495,92047.47234316,2020-10-10,22:00:00
374.315,374.315,369.652,370.99,490.2190041,182119.43664438,2020-10-10,23:00:00
370.64,371.985,369.31,370.299,124.84996338,46351.98059264,2020-10-11,00:00:00
370.587,373.22,370.581,372.841,246.47290483,91762.95433093,2020-10-11,01:00:00
372.782,372.882,372.09,372.599,94.37630524,35169.07977435,2020-10-11,02:00:00
372.697,372.839,369.894,370.792,68.33049708,25336.05816542,2020-10-11,03:00:00
370.972,371.586,369.873,370.902,122.0903292,45236.67602066,2020-10-11,04:00:00
370.88,372.59,370.88,372.17,125.79642661,46746.13147645,2020-10-11,05:00:00
372.62,372.699,371.63,372.209,60.19420154,22411.64270591,2020-10-11,06:00:00
373.009,373.567,372.393,372.393,21.49738156,8018.57512572,2020-10-11,07:00:00
372.4,373.168,371.92,372.419,483.42670932,180112.50707688,2020-10-11,08:00:00
372.011,372.637,371.67,372.501,19.66782102,7315.56531726,2020-10-11,09:00:00
372.783,377.252,372.691,377.199,188.98909892,70910.447822,2020-10-11,10:00:00
376.93,377.408,373.38,374.311,173.76759439,65079.34669679,2020-10-11,11:00:00
374.542,374.544,371.249,372.441,178.86521962,66622.85986697,2020-10-11,12:00:00
372.629,373.085,371.758,372.694,97.1132415,36187.3013388,2020-10-11,13:00:00
372.691,376.12,372.015,372.868,148.15423942,55519.29322427,2020-10-11,14:00:00
373.236,375.466,373.223,375.247,217.15486748,81415.32068725,2020-10-11,15:00:00
375.47,376.25,373.911,374.647,172.19200402,64616.000643,2020-10-11,16:00:00
374.912,375.79,374.854,375.137,235.36053683,88338.33778334,2020-10-11,17:00:00
375.411,375.92,374.174,375.0,47.03721393,17646.98649878,2020-10-11,18:00:00
375.422,376.063,372.851,372.978,223.97717288,83706.81626591,2020-10-11,19:00:00
373.03,374.152,373.03,373.109,72.96644827,27269.88265887,2020-10-11,20:00:00
