Open,High,Low,Close,Volume,Base Value,Date (UTC),Time (UTC)
5.67015,5.67015,5.66706,5.66707,133.47062117,756.63794711,2020-10-10,17:00:00
5.66707,5.66707,5.66707,5.66707,0.0,0.0,2020-10-10,18:00:00
5.66707,5.66707,5.66707,5.66707,0.0,0.0,2020-10-10,19:00:00
5.66707,5.66707,5.66707,5.66707,0.0,0.0,2020-10-10,20:00:00
5.66707,5.66707,5.66707,5.66707,0.0,0.0,2020-10-10,21:00:00
5.595,5.595,5.594,5.595,32.00522988,179.06804077,2020-10-10,22:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-10,23:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,00:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,01:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,02:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,03:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,04:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,05:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,06:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,07:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,08:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,09:00:00
5.595,5.595,5.595,5.595,0.0,0.0,2020-10-11,10:00:00
5.657,5.657,5.657,5.657,1.96924287,11.14000691,2020-10-11,11:00:00
5.657,5.657,5.657,5.657,0.0,0.0,2020-10-11,12:00:00
5.657,5.657,5.657,5.657,0.0,0.0,2020-10-11,13:00:00
5.69999,5.69999,5.699,5.69901,19.90416669,113.4400689,2020-10-11,14:00:00
5.79999,5.79999,5.79999,5.79999,6.0,34.79994,2020-10-11,15:00:00
5.89999,6.24965,5.87003,6.033,304.74272315,1896.75598574,2020-10-11,16:00:00
6.08267,6.20276,6.08267,6.20276,43.58771029,267.72232012,2020-10-11,17:00:00
6.20276,6.20276,6.20276,6.20276,0.0,0.0,2020-10-11,18:00:00
6.20192,6.42,6.20192,6.35,249.49747368,1582.11573134,2020-10-11,19:00:00
6.406,7.47,6.402,7.199,2128.4884647,14767.73663052,2020-10-11,20:00:00
7.48,7.898,6.95918,6.95918,692.95066246,5213.03378642,2020-10-11,21:00:00
6.78846,6.78846,6.78846,6.78846,11.76118285,79.84031932,2020-10-11,22:00:00
6.79246,6.91868,6.6155,6.896,152.93683292,1048.36067167,2020-10-11,23:00:00
6.82307,6.8231,6.64,6.64,146.99813285,1002.79767533,2020-10-12,00:00:00
6.627,6.627,6.627,6.627,1.0534,6.9808818,2020-10-12,01:00:00
6.70113,6.70113,6.57082,6.57082,2.3813192,15.82490085,2020-10-12,02:00:00
6.57082,6.57082,6.57082,6.57082,0.0,0.0,2020-10-12,03:00:00
6.951,6.959,6.852,6.852,24.60519434,170.93151374,2020-10-12,04:00:00
6.82375,6.82375,6.807,6.807,24.44792515,166.80988811,2020-10-12,05:00:00
6.807,6.807,6.807,6.807,0.0,0.0,2020-10-12,06:00:00
6.59,6.59,6.59,6.59,27.27007341,179.70978377,2020-10-12,07:00:00
6.639,6.639,6.639,6.639,1.0329,6.8574231,2020-10-12,08:00:00
6.586,6.586,6.586,6.586,5.43754973,35.81170252,2020-10-12,09:00:00
6.69294,7.02898,6.4,7.0,784.62250639,5154.19748686,2020-10-12,10:00:00
6.553,6.556,6.553,6.554,13.86254692,90.86695077,2020-10-12,11:00:00
6.55,6.60269,6.55,6.60269,12.95461566,85.48262127,2020-10-12,12:00:00
6.60561,6.60561,6.60561,6.60561,8.3982646,55.47566062,2020-10-12,13:00:00
6.653,6.70776,6.335,6.335,75.92482975,507.07075344,2020-10-12,14:00:00
6.335,6.335,6.335,6.335,0.0,0.0,2020-10-12,15:00:00
6.335,6.335,6.335,6.335,0.0,0.0,2020-10-12,16:00:00
6.22471,6.22471,6.22471,6.22471,1.64976922,10.26933496,2020-10-12,17:00:00
6.38329,6.38329,6.38329,6.38329,10.0,63.83289999,2020-10-12,18:00:00
6.37772,6.70776,6.37772,6.70776,74.27650224,479.5260104,2020-10-12,19:00:00
6.70776,6.70776,6.70776,6.70776,0.0,0.0,2020-10-12,20:00:00
6.338,6.338,6.338,6.338,1.0922,6.9223636,2020-10-12,21:00:00
6.3,6.3,6.284,6.284,336.68590945,2121.10356553,2020-10-12,22:00:00
6.2009,6.2009,6.17,6.17,43.6075413,269.50755137,2020-10-12,23:00:00
6.12,6.24406,6.118,6.118,61.04404281,374.3982737,2020-10-13,00:00:00
6.118,6.118,6.118,6.118,0.0,0.0,2020-10-13,01:00:00
6.118,6.118,6.118,6.118,0.0,0.0,2020-10-13,02:00:00
6.195,6.2,6.195,6.2,30.33203756,188.02399672,2020-10-13,03:00:00
6.23297,6.23297,6.23297,6.23297,3.65658927,22.79141122,2020-10-13,04:00:00
6.23297,6.23297,6.23297,6.23297,269.56848017,1680.21224976,2020-10-13,05:00:00
6.231,6.231,6.231,6.231,52.35596443,326.23001436,2020-10-13,06:00:00
6.231,6.231,6.231,6.231,0.0,0.0,2020-10-13,07:00:00
6.231,6.231,6.231,6.231,0.0,0.0,2020-10-13,08:00:00
6.231,6.231,6.231,6.231,0.0,0.0,2020-10-13,09:00:00
6.231,6.231,6.231,6.231,0.0,0.0,2020-10-13,10:00:00
6.215,6.245,6.215,6.245,65.67870612,408.31295436,2020-10-13,11:00:00
6.245,6.245,6.245,6.245,0.0,0.0,2020-10-13,12:00:00
6.25,6.25,6.19,6.19,55.95814385,347.81839906,2020-10-13,13:00:00
6.05026,6.05026,6.05026,6.05026,5.1135197,30.9381237,2020-10-13,14:00:00
6.00225,6.05721,6.0022,6.05721,44.14372635,265.17808016,2020-10-13,15:00:00
6.057,6.089,6.056,6.08701,64.64498078,392.29692262,2020-10-13,16:00:00
6.087,6.16725,6.087,6.16725,91.68767064,562.3079725,2020-10-13,17:00:00
6.20621,6.20621,6.20621,6.20621,1.0,6.20621,2020-10-13,18:00:00
6.09594,6.09594,6.09594,6.09594,1.0,6.09594,2020-10-13,19:00:00
6.09594,6.09594,6.09594,6.09594,0.0,0.0,2020-10-13,20:00:00
6.09594,6.09594,6.09594,6.09594,0.0,0.0,2020-10-13,21:00:00
6.149,6.149,6.149,6.149,1.1114,6.8339986,2020-10-13,22:00:00
6.149,6.149,6.149,6.149,0.0,0.0,2020-10-13,23:00:00
6.149,6.149,6.149,6.149,0.0,0.0,2020-10-14,00:00:00
6.248,6.248,6.248,6.248,3.40102967,21.24963337,2020-10-14,01:00:00
6.248,6.248,6.248,6.248,0.0,0.0,2020-10-14,02:00:00
6.248,6.248,6.248,6.248,0.0,0.0,2020-10-14,03:00:00
6.248,6.248,6.248,6.248,0.0,0.0,2020-10-14,04:00:00
6.34725,6.34725,6.347,6.347,3.91758091,24.86544288,2020-10-14,05:00:00
6.347,6.347,6.347,6.347,0.0,0.0,2020-10-14,06:00:00
6.347,6.347,6.347,6.347,0.0,0.0,2020-10-14,07:00:00
6.347,6.347,6.347,6.347,0.0,0.0,2020-10-14,08:00:00
6.28,6.28,6.28,6.28,15.8917833,99.80039912,2020-10-14,09:00:00
6.32675,6.32675,6.32675,6.32675,1.84112599,11.64834385,2020-10-14,10:00:00
6.32675,6.32675,6.32675,6.32675,0.0,0.0,2020-10-14,11:00:00
6.26266,6.3,6.15315,6.15316,88.84495969,554.74486721,2020-10-14,12:00:00
6.29896,6.35,6.29896,6.35,343.48148913,2164.30169448,2020-10-14,13:00:00
6.4,6.4,6.24756,6.2641,28.9881454,184.12458449,2020-10-14,14:00:00
6.2641,6.2641,6.2641,6.2641,0.0,0.0,2020-10-14,15:00:00
6.189,6.189,6.16,6.16,3.064,18.905096,2020-10-14,16:00:00
6.16,6.16,6.16,6.16,1.19080021,7.33532929,2020-10-14,17:00:00
6.06121,6.06121,6.06,6.06,248.76424413,1507.54749615,2020-10-14,18:00:00
6.06,6.06,6.06,6.06,0.0,0.0,2020-10-14,19:00:00
6.06,6.06,6.06,6.06,0.0,0.0,2020-10-14,20:00:00
6.06,6.06,6.06,6.06,0.0,0.0,2020-10-14,21:00:00
6.063,6.063,6.0,6.0,193.96921039,1174.36810526,2020-10-14,22:00:00
6.08618,6.08619,6.0,6.0,125.68881269,761.69882947,2020-10-14,23:00:00
5.9869,5.98693,5.9869,5.98693,141.33532912,846.16255461,2020-10-15,00:00:00
5.93598,5.93599,5.93598,5.93599,22.09543047,131.15815431,2020-10-15,01:00:00
