Epoch Time,Open,High,Low,Close,Volume,Date (UTC),Time (UTC)
1607529600000,18359.47,18360.71,18260.38,18351.21,61.3834462476,2020-12-09,16:00:00
1607526000000,18475.95,18475.95,18301.0,18359.47,106.5786359441,2020-12-09,15:00:00
1607522400000,18500.0,18535.28,18445.68,18475.95,273.5383271133,2020-12-09,14:00:00
1607518800000,18251.92,18500.01,18183.3,18500.0,208.2332516223,2020-12-09,13:00:00
1607515200000,18260.36,18369.75,18228.15,18251.92,65.317713426,2020-12-09,12:00:00
1607511600000,18220.11,18370.43,18189.88,18260.36,37.8633498905,2020-12-09,11:00:00
1607508000000,18054.7,18241.99,17972.5,18220.11,33.1913084202,2020-12-09,10:00:00
1607504400000,17970.62,18105.84,17921.49,18054.7,21.9149292945,2020-12-09,09:00:00
1607500800000,17938.12,18054.1,17610.0,17970.62,190.7428965911,2020-12-09,08:00:00
1607497200000,18211.16,18242.63,17873.46,17938.12,139.7772168563,2020-12-09,07:00:00
1607493600000,18202.93,18271.83,18161.91,18211.16,23.1072802749,2020-12-09,06:00:00
1607490000000,18165.88,18239.3,18059.64,18202.93,37.3648874812,2020-12-09,05:00:00
1607486400000,18302.24,18307.0,18135.04,18165.88,43.1615987607,2020-12-09,04:00:00
1607482800000,18276.96,18313.13,18228.86,18302.24,29.5224433943,2020-12-09,03:00:00
1607479200000,18214.06,18323.26,18151.56,18276.96,53.1362138788,2020-12-09,02:00:00
1607475600000,18176.21,18313.67,18025.0,18214.06,124.4447946071,2020-12-09,01:00:00
1607472000000,18318.53,18372.08,18144.08,18176.21,180.5544301625,2020-12-09,00:00:00
1607468400000,18333.33,18426.13,18150.75,18318.53,282.8452699481,2020-12-08,23:00:00
1607464800000,18781.57,18839.6,18333.33,18333.33,193.9636844933,2020-12-08,22:00:00
1607461200000,18742.87,18827.44,18685.86,18781.57,97.1045868531,2020-12-08,21:00:00
1607457600000,18798.63,18845.06,18670.46,18742.87,87.8578218165,2020-12-08,20:00:00
1607454000000,18830.55,18896.69,18797.17,18798.63,63.3413230384,2020-12-08,19:00:00
1607450400000,18936.43,18936.43,18830.01,18830.55,50.4812926545,2020-12-08,18:00:00
1607446800000,18840.75,18941.99,18824.7,18936.43,32.5992169075,2020-12-08,17:00:00
1607443200000,18826.15,18922.25,18765.37,18840.75,80.400363736,2020-12-08,16:00:00
1607439600000,18876.25,18920.08,18788.7,18826.15,78.1918844653,2020-12-08,15:00:00
1607436000000,18930.0,18985.2,18870.8,18876.25,69.3776697702,2020-12-08,14:00:00
1607432400000,18735.6,18957.57,18735.6,18930.0,69.825081257,2020-12-08,13:00:00
1607428800000,18784.56,18866.36,18617.06,18735.6,81.2259493203,2020-12-08,12:00:00
1607425200000,18811.33,18879.99,18733.01,18784.56,45.3343976445,2020-12-08,11:00:00
1607421600000,18785.4,18886.21,18718.62,18811.33,39.7084801443,2020-12-08,10:00:00
1607418000000,19069.37,19103.87,18680.49,18785.4,143.6947028018,2020-12-08,09:00:00
1607414400000,19148.0,19170.07,19022.16,19069.37,21.1033712773,2020-12-08,08:00:00
1607410800000,19170.9,19199.61,19137.29,19148.0,14.0503500194,2020-12-08,07:00:00
1607407200000,19292.93,19298.64,19104.47,19170.9,33.1798102046,2020-12-08,06:00:00
1607403600000,19190.44,19292.93,19189.87,19292.93,27.7281034342,2020-12-08,05:00:00
1607400000000,19164.87,19219.76,19164.87,19190.44,14.7970846019,2020-12-08,04:00:00
1607396400000,19194.02,19210.37,19151.69,19164.87,15.6461774857,2020-12-08,03:00:00
1607392800000,19230.0,19230.06,19174.61,19194.02,27.3099753618,2020-12-08,02:00:00
1607389200000,19238.74,19247.76,19163.6,19230.0,44.7497386101,2020-12-08,01:00:00
1607385600000,19182.56,19246.11,19153.48,19238.74,29.4429369558,2020-12-08,00:00:00
1607382000000,19129.73,19242.0,19081.63,19182.56,100.1009018912,2020-12-07,23:00:00
1607378400000,19087.21,19130.48,19083.81,19129.73,37.0161730159,2020-12-07,22:00:00
1607374800000,19060.43,19130.1,19023.1,19087.21,117.1703383889,2020-12-07,21:00:00
1607371200000,18968.77,19070.81,18942.77,19060.43,94.1450138034,2020-12-07,20:00:00
1607367600000,18954.27,19042.5,18914.67,18968.77,136.0687829642,2020-12-07,19:00:00
1607364000000,19174.95,19202.95,18908.0,18954.27,154.990951511,2020-12-07,18:00:00
1607360400000,19199.18,19223.73,19150.0,19174.95,31.9687649346,2020-12-07,17:00:00
1607356800000,19231.6,19257.39,19190.89,19199.18,41.4945153673,2020-12-07,16:00:00
1607353200000,19209.75,19272.05,19185.93,19231.6,32.7503363609,2020-12-07,15:00:00
1607349600000,19198.73,19244.94,19105.97,19209.75,32.454410239,2020-12-07,14:00:00
1607346000000,19237.8,19257.83,19192.9,19198.73,34.3268159175,2020-12-07,13:00:00
1607342400000,19108.32,19246.52,19100.95,19237.8,32.3361031849,2020-12-07,12:00:00
1607338800000,19197.08,19235.0,19104.47,19108.32,4.23234732,2020-12-07,11:00:00
1607335200000,19209.6,19254.51,19175.32,19197.08,20.69113503,2020-12-07,10:00:00
1607331600000,19261.3,19263.19,19191.97,19209.6,14.2901509771,2020-12-07,09:00:00
1607328000000,19382.26,19382.26,19210.0,19261.3,13.43438852,2020-12-07,08:00:00
1607324400000,19315.73,19399.99,19306.55,19382.26,40.5595383878,2020-12-07,07:00:00
1607320800000,19254.8,19359.4,19249.09,19315.73,57.1078648226,2020-12-07,06:00:00
1607317200000,19310.0,19310.0,19250.0,19254.8,39.1205431342,2020-12-07,05:00:00
1607313600000,19290.65,19320.75,19250.0,19310.0,6.9233915637,2020-12-07,04:00:00
1607310000000,19220.46,19299.98,19172.98,19290.65,24.4783394935,2020-12-07,03:00:00
1607306400000,19301.34,19312.0,19183.0,19220.46,13.420463043,2020-12-07,02:00:00
1607302800000,19331.6,19365.25,19229.41,19301.34,20.4753843546,2020-12-07,01:00:00
1607299200000,19379.99,19425.0,19296.62,19331.6,22.2197991589,2020-12-07,00:00:00
1607295600000,19140.56,19425.0,19140.56,19379.99,73.4815406361,2020-12-06,23:00:00
1607292000000,19252.31,19252.31,19077.63,19140.56,17.7883243352,2020-12-06,22:00:00
1607288400000,19181.22,19252.31,19137.78,19252.31,25.0747327881,2020-12-06,21:00:00
1607284800000,19153.1,19194.17,19139.52,19181.22,15.3795354826,2020-12-06,20:00:00
1607281200000,19116.87,19165.79,19083.07,19153.1,30.7399092956,2020-12-06,19:00:00
1607277600000,19155.74,19181.58,19103.15,19116.87,29.3393570575,2020-12-06,18:00:00
1607274000000,19122.71,19187.53,19084.23,19155.74,22.2099654095,2020-12-06,17:00:00
1607270400000,19132.79,19232.99,19036.13,19122.71,17.3098135691,2020-12-06,16:00:00
1607266800000,19132.83,19173.41,19122.77,19132.79,12.8490486713,2020-12-06,15:00:00
1607263200000,18978.25,19152.95,18956.2,19132.83,4.8730091803,2020-12-06,14:00:00
1607259600000,18992.83,19041.85,18888.0,18978.25,23.1056838269,2020-12-06,13:00:00
1607256000000,19090.8,19095.21,18983.2,18992.83,4.666049529,2020-12-06,12:00:00
1607252400000,19063.07,19115.0,18989.38,19090.8,3.5575911237,2020-12-06,11:00:00
1607248800000,19058.76,19072.81,18980.06,19063.07,3.159288735,2020-12-06,10:00:00
1607245200000,19048.52,19095.06,18970.0,19058.76,17.0668825215,2020-12-06,09:00:00
1607241600000,19240.0,19259.99,19026.62,19048.52,9.4704597222,2020-12-06,08:00:00
1607238000000,19198.93,19264.77,19190.24,19240.0,9.9728948867,2020-12-06,07:00:00
1607234400000,19174.85,19230.06,19151.12,19198.93,3.5450175198,2020-12-06,06:00:00
1607230800000,19204.29,19229.09,19127.69,19174.85,6.4447664081,2020-12-06,05:00:00
1607227200000,19202.68,19237.9,19174.77,19204.29,12.7494464788,2020-12-06,04:00:00
1607223600000,19239.33,19258.62,19153.0,19202.68,11.945111722,2020-12-06,03:00:00
1607220000000,19269.19,19290.72,19221.25,19239.33,18.1178076044,2020-12-06,02:00:00
1607216400000,19286.2,19350.0,19245.33,19269.19,29.0379337185,2020-12-06,01:00:00
1607212800000,19165.49,19299.04,19154.04,19286.2,69.4219189011,2020-12-06,00:00:00
1607209200000,19031.38,19174.17,19031.38,19165.49,22.6724925813,2020-12-05,23:00:00
1607205600000,19024.12,19070.03,19006.24,19031.38,18.4509581466,2020-12-05,22:00:00
1607202000000,19070.83,19128.37,19013.14,19024.12,16.310655889,2020-12-05,21:00:00
1607198400000,19134.4,19160.99,19025.83,19070.83,19.3894704807,2020-12-05,20:00:00
1607194800000,19138.91,19193.07,19090.66,19134.4,17.1276524129,2020-12-05,19:00:00
1607191200000,19144.59,19162.12,19112.71,19138.91,16.7773938678,2020-12-05,18:00:00
1607187600000,19117.4,19144.59,19050.9,19144.59,33.3109518897,2020-12-05,17:00:00
1607184000000,19130.77,19166.62,19069.98,19117.4,51.4882284945,2020-12-05,16:00:00
1607180400000,19090.14,19160.4,19063.37,19130.77,35.1330988532,2020-12-05,15:00:00
1607176800000,18999.0,19095.0,18992.88,19090.14,25.378583168,2020-12-05,14:00:00
1607173200000,19085.25,19089.36,18960.34,18999.0,10.8482200821,2020-12-05,13:00:00
1607169600000,19013.57,19096.67,18980.56,19085.25,17.1851106526,2020-12-05,12:00:00
1607166000000,19131.81,19145.94,18986.79,19013.57,4.6655956395,2020-12-05,11:00:00
1607162400000,19128.16,19150.0,19073.31,19131.81,4.68858807,2020-12-05,10:00:00
1607158800000,19168.58,19181.39,19081.13,19128.16,7.35270771,2020-12-05,09:00:00
1607155200000,18936.9,19183.82,18934.03,19168.58,24.4959327621,2020-12-05,08:00:00
1607151600000,18984.8,18998.45,18923.82,18936.9,29.0468552216,2020-12-05,07:00:00
1607148000000,18977.96,18998.45,18933.19,18984.8,18.4318177132,2020-12-05,06:00:00
1607144400000,18900.0,18996.0,18867.66,18977.96,12.6916300543,2020-12-05,05:00:00
1607140800000,18832.19,18957.43,18821.9,18900.0,48.9976580795,2020-12-05,04:00:00
1607137200000,18820.75,18905.02,18770.77,18832.19,8.7391738452,2020-12-05,03:00:00
1607133600000,18670.68,18868.99,18669.93,18820.75,31.0679337633,2020-12-05,02:00:00
1607130000000,18790.24,18827.0,18648.23,18670.68,29.4684354971,2020-12-05,01:00:00
1607126400000,18671.56,18816.47,18510.0,18790.24,62.8490272651,2020-12-05,00:00:00
1607122800000,18694.13,18862.45,18613.83,18671.56,62.9299813953,2020-12-04,23:00:00
1607119200000,18814.46,18889.02,18600.0,18694.13,176.9587700941,2020-12-04,22:00:00
1607115600000,18986.46,19006.98,18755.3,18814.46,110.5616972193,2020-12-04,21:00:00
1607112000000,19062.57,19062.57,18900.0,18986.46,73.4931856595,2020-12-04,20:00:00
1607108400000,19072.95,19081.76,19016.9,19062.57,52.7119256081,2020-12-04,19:00:00
1607104800000,18984.09,19098.63,18950.0,19072.95,74.1649141899,2020-12-04,18:00:00
1607101200000,19005.1,19054.22,18950.02,18984.09,96.9382486183,2020-12-04,17:00:00
1607097600000,18968.57,19007.14,18831.92,19005.1,229.8395916486,2020-12-04,16:00:00
1607094000000,19057.78,19086.17,18955.0,18968.57,78.0918980951,2020-12-04,15:00:00
1607090400000,19031.19,19168.45,18943.73,19057.78,63.0845086609,2020-12-04,14:00:00
1607086800000,19039.1,19047.81,18939.63,19031.19,59.7307433724,2020-12-04,13:00:00
1607083200000,18835.96,19047.55,18703.7,19039.1,94.1206958193,2020-12-04,12:00:00
1607079600000,19007.5,19098.29,18773.87,18835.96,99.2082851154,2020-12-04,11:00:00
