Epoch Time,Open,High,Low,Close,Volume,Date (UTC),Time (UTC)
1607529600000,567.5,567.91,562.71,567.65,777.61883551,2020-12-09,16:00:00
1607526000000,572.52,572.95,562.92,567.5,1597.64586922,2020-12-09,15:00:00
1607522400000,572.61,577.02,570.7,572.52,1599.06048133,2020-12-09,14:00:00
1607518800000,560.58,572.62,560.52,572.61,1101.333072,2020-12-09,13:00:00
1607515200000,562.03,568.34,560.58,560.58,578.61938007,2020-12-09,12:00:00
1607511600000,558.77,565.63,556.78,562.03,1387.30867555,2020-12-09,11:00:00
1607508000000,550.03,560.2,546.56,558.77,795.84775122,2020-12-09,10:00:00
1607504400000,540.8,550.03,540.8,550.03,216.10670036,2020-12-09,09:00:00
1607500800000,538.52,541.49,530.53,540.8,1164.94804518,2020-12-09,08:00:00
1607497200000,549.35,549.86,537.0,538.52,939.12827695,2020-12-09,07:00:00
1607493600000,548.05,551.19,547.57,549.35,80.55882151,2020-12-09,06:00:00
1607490000000,547.28,549.72,545.0,548.05,497.44022159,2020-12-09,05:00:00
1607486400000,552.0,552.38,546.74,547.28,380.24056861,2020-12-09,04:00:00
1607482800000,549.11,552.0,548.52,552.0,330.31682733,2020-12-09,03:00:00
1607479200000,547.19,552.06,545.05,549.11,493.98111553,2020-12-09,02:00:00
1607475600000,550.2,552.93,541.38,547.19,1020.20916542,2020-12-09,01:00:00
1607472000000,555.0,556.11,549.5,550.2,1392.01179491,2020-12-09,00:00:00
1607468400000,553.98,557.9,548.38,555.0,1913.15184368,2020-12-08,23:00:00
1607464800000,566.18,570.09,553.98,553.98,1194.02264623,2020-12-08,22:00:00
1607461200000,564.09,567.72,559.29,566.18,1691.41591918,2020-12-08,21:00:00
1607457600000,570.86,573.09,562.45,564.09,864.42249361,2020-12-08,20:00:00
1607454000000,573.0,575.15,570.81,570.86,150.08829495,2020-12-08,19:00:00
1607450400000,577.06,577.06,573.0,573.0,308.15290931,2020-12-08,18:00:00
1607446800000,573.9,577.53,572.0,577.06,1434.53248587,2020-12-08,17:00:00
1607443200000,574.45,577.96,570.85,573.9,689.36496657,2020-12-08,16:00:00
1607439600000,577.76,578.99,573.56,574.45,499.99925545,2020-12-08,15:00:00
1607436000000,578.58,581.16,577.29,577.76,318.74110559,2020-12-08,14:00:00
1607432400000,573.02,579.0,573.02,578.58,312.5980621,2020-12-08,13:00:00
1607428800000,574.13,577.65,569.29,573.02,590.75712055,2020-12-08,12:00:00
1607425200000,575.35,577.22,573.29,574.13,161.362925,2020-12-08,11:00:00
1607421600000,573.73,577.78,571.01,575.35,567.99785051,2020-12-08,10:00:00
1607418000000,582.66,584.64,571.0,573.73,2017.25525413,2020-12-08,09:00:00
1607414400000,589.37,589.37,581.0,582.66,639.551463,2020-12-08,08:00:00
1607410800000,591.51,591.95,588.24,589.37,50.048929,2020-12-08,07:00:00
1607407200000,595.0,595.0,590.11,591.51,142.31254434,2020-12-08,06:00:00
1607403600000,590.09,595.0,590.05,595.0,355.65515584,2020-12-08,05:00:00
1607400000000,588.56,591.12,588.56,590.09,1300.14283419,2020-12-08,04:00:00
1607396400000,589.27,589.62,586.88,588.56,501.44976981,2020-12-08,03:00:00
1607392800000,590.01,590.34,588.59,589.27,330.04222563,2020-12-08,02:00:00
1607389200000,591.18,591.61,588.09,590.01,623.22770854,2020-12-08,01:00:00
1607385600000,591.26,591.5,587.54,591.18,551.56520489,2020-12-08,00:00:00
1607382000000,591.25,593.51,586.72,591.26,1647.28276981,2020-12-07,23:00:00
1607378400000,588.92,591.37,588.54,591.25,404.35248259,2020-12-07,22:00:00
1607374800000,586.84,589.83,585.44,588.92,215.91097087,2020-12-07,21:00:00
1607371200000,587.55,588.62,585.0,586.84,929.26912878,2020-12-07,20:00:00
1607367600000,586.46,588.65,585.32,587.55,700.31405946,2020-12-07,19:00:00
1607364000000,593.04,593.6,585.0,586.46,1457.2119759,2020-12-07,18:00:00
1607360400000,593.91,595.23,592.43,593.04,278.47610268,2020-12-07,17:00:00
1607356800000,594.77,595.85,593.45,593.91,479.51529843,2020-12-07,16:00:00
1607353200000,594.77,596.38,594.01,594.77,476.92505535,2020-12-07,15:00:00
1607349600000,595.68,597.17,592.63,594.77,510.31560493,2020-12-07,14:00:00
1607346000000,597.3,597.52,595.61,595.68,49.55667162,2020-12-07,13:00:00
1607342400000,590.92,597.37,590.92,597.3,111.09414599,2020-12-07,12:00:00
1607338800000,593.36,594.92,590.05,590.92,183.58983505,2020-12-07,11:00:00
1607335200000,595.32,595.72,592.5,593.36,357.480991,2020-12-07,10:00:00
1607331600000,596.95,596.95,594.0,595.32,193.55074938,2020-12-07,09:00:00
1607328000000,601.68,601.68,595.0,596.95,126.182107,2020-12-07,08:00:00
1607324400000,598.37,601.68,598.37,601.68,184.770697,2020-12-07,07:00:00
1607320800000,596.87,600.94,596.65,598.37,84.70002107,2020-12-07,06:00:00
1607317200000,596.57,598.75,595.31,596.87,99.2103828,2020-12-07,05:00:00
1607313600000,595.38,597.33,593.15,596.57,388.48427724,2020-12-07,04:00:00
1607310000000,593.9,595.38,591.94,595.38,125.51004711,2020-12-07,03:00:00
