Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1604941200,0.103093,0.104367,0.103010,0.104367,0.103578,490720.59443919,47,2020-11-09,17:00:00
1604944800,0.104420,0.105500,0.103951,0.105288,0.104463,296136.82314660,50,2020-11-09,18:00:00
1604948400,0.105281,0.105863,0.104881,0.105863,0.105195,145202.81724289,42,2020-11-09,19:00:00
1604952000,0.105947,0.106671,0.105899,0.105949,0.106226,1083001.78001549,138,2020-11-09,20:00:00
1604955600,0.106748,0.107658,0.106290,0.106290,0.106817,400762.13856111,77,2020-11-09,21:00:00
1604959200,0.106456,0.106456,0.105371,0.105510,0.105775,243619.30616566,45,2020-11-09,22:00:00
1604962800,0.105712,0.105713,0.105309,0.105400,0.105417,195896.38378568,37,2020-11-09,23:00:00
1604966400,0.105477,0.105509,0.104551,0.105503,0.104897,542370.27708203,57,2020-11-10,00:00:00
1604970000,0.105558,0.106517,0.105558,0.106517,0.106198,78888.50945440,20,2020-11-10,01:00:00
1604973600,0.106514,0.107210,0.106364,0.106364,0.106682,1478101.26563124,95,2020-11-10,02:00:00
1604977200,0.106176,0.106256,0.105075,0.105075,0.105809,470912.39301860,41,2020-11-10,03:00:00
1604980800,0.105903,0.107008,0.105903,0.106847,0.106790,96999.32495737,24,2020-11-10,04:00:00
1604984400,0.106699,0.106771,0.105997,0.106073,0.106481,165828.90762003,43,2020-11-10,05:00:00
1604988000,0.106201,0.106300,0.105447,0.105447,0.106071,54176.48391372,12,2020-11-10,06:00:00
1604991600,0.105803,0.106731,0.105734,0.106688,0.106131,295433.64266673,28,2020-11-10,07:00:00
1604995200,0.106789,0.108956,0.106789,0.108147,0.107950,622669.74847021,133,2020-11-10,08:00:00
1604998800,0.108238,0.108650,0.107926,0.108628,0.108461,229702.47576656,54,2020-11-10,09:00:00
1605002400,0.109000,0.109169,0.106611,0.106613,0.107931,315886.62683143,57,2020-11-10,10:00:00
1605006000,0.106729,0.107272,0.106193,0.107168,0.106953,167873.90755440,28,2020-11-10,11:00:00
1605009600,0.107459,0.107490,0.105925,0.106517,0.106105,389700.55697639,38,2020-11-10,12:00:00
1605013200,0.106832,0.106832,0.105733,0.106533,0.105881,177077.56280230,32,2020-11-10,13:00:00
1605016800,0.105502,0.105791,0.105000,0.105061,0.105162,809921.63416166,126,2020-11-10,14:00:00
1605020400,0.105466,0.105574,0.103726,0.104626,0.104523,1626993.82160736,143,2020-11-10,15:00:00
1605024000,0.104893,0.105157,0.104850,0.105157,0.104985,188337.96004781,28,2020-11-10,16:00:00
1605027600,0.104997,0.105312,0.104840,0.105213,0.105131,641147.02342549,50,2020-11-10,17:00:00
1605031200,0.105073,0.105794,0.104583,0.105742,0.105008,209567.99333186,56,2020-11-10,18:00:00
1605034800,0.105543,0.106142,0.105543,0.105614,0.105892,1599894.46559057,144,2020-11-10,19:00:00
1605038400,0.105716,0.106267,0.105644,0.105840,0.106022,517491.84374850,74,2020-11-10,20:00:00
1605042000,0.105863,0.106649,0.105803,0.106440,0.106253,237849.39359816,47,2020-11-10,21:00:00
1605045600,0.106311,0.107216,0.106007,0.106770,0.106849,277212.98456754,49,2020-11-10,22:00:00
1605049200,0.106617,0.106617,0.105827,0.105919,0.106087,397700.34678293,76,2020-11-10,23:00:00
1605052800,0.105866,0.107771,0.105866,0.107254,0.107252,498740.33098905,82,2020-11-11,00:00:00
1605056400,0.107605,0.108319,0.106980,0.107367,0.107311,902017.89344576,123,2020-11-11,01:00:00
1605060000,0.107473,0.107486,0.106513,0.106888,0.106794,369962.65068227,60,2020-11-11,02:00:00
1605063600,0.106924,0.107290,0.106874,0.107290,0.107214,433126.47004125,28,2020-11-11,03:00:00
1605067200,0.107078,0.107512,0.105977,0.106277,0.106165,324492.31979216,43,2020-11-11,04:00:00
1605070800,0.106435,0.106554,0.105740,0.106366,0.106050,515152.97839513,67,2020-11-11,05:00:00
1605074400,0.106596,0.106597,0.106338,0.106411,0.106414,108228.72896748,16,2020-11-11,06:00:00
1605078000,0.106924,0.107298,0.106924,0.107050,0.107178,60130.20784131,14,2020-11-11,07:00:00
1605081600,0.107249,0.107897,0.106955,0.107003,0.107318,402718.52168643,61,2020-11-11,08:00:00
1605085200,0.107374,0.108703,0.107208,0.107425,0.108084,578953.75502483,88,2020-11-11,09:00:00
1605088800,0.108004,0.108876,0.108004,0.108513,0.108455,378605.52961723,35,2020-11-11,10:00:00
1605092400,0.108392,0.108446,0.107942,0.108037,0.108162,806013.15426844,89,2020-11-11,11:00:00
1605096000,0.107808,0.108707,0.107764,0.108331,0.108403,722204.03858153,65,2020-11-11,12:00:00
1605099600,0.108235,0.108262,0.107600,0.107600,0.107841,1606773.47669170,134,2020-11-11,13:00:00
1605103200,0.107600,0.108402,0.107600,0.108311,0.108151,875375.22266327,74,2020-11-11,14:00:00
1605106800,0.108356,0.108999,0.107999,0.108157,0.108610,1660332.40294521,127,2020-11-11,15:00:00
1605110400,0.108467,0.108998,0.108032,0.108998,0.108490,703797.90546206,93,2020-11-11,16:00:00
1605114000,0.108823,0.109000,0.107762,0.108060,0.108310,375801.67853661,58,2020-11-11,17:00:00
1605117600,0.108220,0.108356,0.107552,0.107957,0.107992,163623.34668355,45,2020-11-11,18:00:00
1605121200,0.107924,0.108055,0.107115,0.107214,0.107381,389753.21561125,68,2020-11-11,19:00:00
1605124800,0.107170,0.107170,0.105741,0.106842,0.106437,1858839.27878772,133,2020-11-11,20:00:00
1605128400,0.106760,0.106800,0.106162,0.106800,0.106497,214972.58944312,38,2020-11-11,21:00:00
1605132000,0.106605,0.106681,0.106400,0.106664,0.106586,220633.15113390,37,2020-11-11,22:00:00
1605135600,0.106451,0.106540,0.106045,0.106046,0.106351,191995.51189591,24,2020-11-11,23:00:00
1605139200,0.106000,0.106000,0.104473,0.105324,0.105598,1427766.02519402,97,2020-11-12,00:00:00
1605142800,0.105667,0.105893,0.105544,0.105852,0.105636,20972.56186401,14,2020-11-12,01:00:00
1605146400,0.105757,0.106529,0.105711,0.106233,0.106115,6681.77826531,17,2020-11-12,02:00:00
1605150000,0.106198,0.106341,0.105982,0.106288,0.106131,634749.94977594,62,2020-11-12,03:00:00
1605153600,0.106233,0.106717,0.106151,0.106614,0.106458,1020613.54755667,92,2020-11-12,04:00:00
1605157200,0.106477,0.106477,0.105883,0.105883,0.106252,194617.21507252,30,2020-11-12,05:00:00
1605160800,0.105653,0.106257,0.105653,0.106256,0.105909,557208.36133198,49,2020-11-12,06:00:00
1605164400,0.106232,0.106530,0.105937,0.105937,0.106310,446128.24559158,53,2020-11-12,07:00:00
1605168000,0.105866,0.106048,0.105737,0.105742,0.105840,102544.61499443,15,2020-11-12,08:00:00
1605171600,0.105520,0.105782,0.105260,0.105538,0.105501,324176.56131919,32,2020-11-12,09:00:00
1605175200,0.105940,0.106421,0.104303,0.104422,0.105493,705597.38562533,110,2020-11-12,10:00:00
1605178800,0.104399,0.104987,0.104002,0.104555,0.104533,1077505.73782117,114,2020-11-12,11:00:00
1605182400,0.104783,0.105099,0.104626,0.104974,0.104924,100894.67326831,37,2020-11-12,12:00:00
1605186000,0.104768,0.104805,0.104545,0.104643,0.104677,80370.94999198,24,2020-11-12,13:00:00
1605189600,0.105011,0.105341,0.103641,0.104303,0.104307,382218.14457840,132,2020-11-12,14:00:00
1605193200,0.104335,0.104785,0.104331,0.104785,0.104695,261167.42037800,63,2020-11-12,15:00:00
1605196800,0.104448,0.104897,0.103523,0.103685,0.103939,149794.37551043,51,2020-11-12,16:00:00
1605200400,0.103940,0.103940,0.102870,0.102870,0.103355,620066.79082541,95,2020-11-12,17:00:00
1605204000,0.103361,0.103591,0.102807,0.103431,0.103245,143869.24476860,26,2020-11-12,18:00:00
1605207600,0.103430,0.103537,0.102828,0.103300,0.103288,125448.52564346,45,2020-11-12,19:00:00
1605211200,0.103299,0.103724,0.103299,0.103714,0.103515,165547.32566549,46,2020-11-12,20:00:00
1605214800,0.103575,0.104007,0.103518,0.103931,0.103759,425258.54020398,59,2020-11-12,21:00:00
1605218400,0.103812,0.104903,0.103812,0.104545,0.104627,81062.55852925,35,2020-11-12,22:00:00
1605222000,0.104526,0.104818,0.104154,0.104780,0.104496,207915.06857900,51,2020-11-12,23:00:00
1605225600,0.104764,0.105538,0.104382,0.105318,0.104997,744163.66685583,82,2020-11-13,00:00:00
1605229200,0.105336,0.106740,0.105336,0.105974,0.106275,531975.59748949,101,2020-11-13,01:00:00
1605232800,0.106002,0.106002,0.105631,0.105947,0.105871,83849.67869032,54,2020-11-13,02:00:00
1605236400,0.105935,0.105935,0.105677,0.105742,0.105832,27739.87492182,18,2020-11-13,03:00:00
1605240000,0.105665,0.106058,0.105542,0.105586,0.105899,40230.82363458,13,2020-11-13,04:00:00
1605243600,0.105591,0.105739,0.105103,0.105493,0.105429,168936.95563199,41,2020-11-13,05:00:00
1605247200,0.105802,0.105842,0.105723,0.105836,0.105774,19771.86163168,16,2020-11-13,06:00:00
1605250800,0.105645,0.105725,0.105286,0.105725,0.105513,54755.46935025,17,2020-11-13,07:00:00
1605254400,0.105676,0.105983,0.105357,0.105968,0.105717,51202.10712937,21,2020-11-13,08:00:00
1605258000,0.106379,0.107336,0.106379,0.106907,0.106986,248430.96420300,78,2020-11-13,09:00:00
1605261600,0.106943,0.106968,0.106338,0.106429,0.106532,79140.63719159,27,2020-11-13,10:00:00
1605265200,0.105941,0.106264,0.105803,0.106263,0.106004,116903.71393903,45,2020-11-13,11:00:00
1605268800,0.106341,0.106885,0.106138,0.106664,0.106500,70435.96636270,28,2020-11-13,12:00:00
1605272400,0.106964,0.107800,0.106853,0.107456,0.107432,272876.55210240,53,2020-11-13,13:00:00
1605276000,0.107427,0.107992,0.106902,0.106935,0.107441,91042.94535219,33,2020-11-13,14:00:00
1605279600,0.106939,0.106939,0.105943,0.106357,0.106226,386952.67323773,56,2020-11-13,15:00:00
