Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1604941200,0.19188,0.19189,0.19172,0.19189,0.19188,16242.16894132,5,2020-11-09,17:00:00
1604944800,0.19212,0.19310,0.19158,0.19223,0.19246,16666.31081816,9,2020-11-09,18:00:00
1604948400,0.19223,0.19223,0.19223,0.19223,0.00000,0.00000000,0,2020-11-09,19:00:00
1604952000,0.19307,0.19321,0.19307,0.19321,0.19313,18222.14125999,7,2020-11-09,20:00:00
1604955600,0.19415,0.19415,0.19363,0.19376,0.19373,21000.00000000,4,2020-11-09,21:00:00
1604959200,0.19376,0.19376,0.19376,0.19376,0.00000,0.00000000,0,2020-11-09,22:00:00
1604962800,0.19310,0.19326,0.19310,0.19326,0.19310,1600.38760000,2,2020-11-09,23:00:00
1604966400,0.19313,0.19729,0.19313,0.19729,0.19652,273.28089407,5,2020-11-10,00:00:00
1604970000,0.19779,0.19893,0.19779,0.19893,0.19793,6439.36477961,9,2020-11-10,01:00:00
1604973600,0.20131,0.20212,0.20131,0.20212,0.20157,24937.00000000,13,2020-11-10,02:00:00
1604977200,0.20134,0.20143,0.20127,0.20127,0.20137,15221.51803438,5,2020-11-10,03:00:00
1604980800,0.20327,0.20486,0.20327,0.20483,0.20452,11610.00761440,10,2020-11-10,04:00:00
1604984400,0.20371,0.20371,0.20345,0.20353,0.20360,11271.76110884,5,2020-11-10,05:00:00
1604988000,0.20167,0.20167,0.20008,0.20008,0.20053,3678.79949472,5,2020-11-10,06:00:00
1604991600,0.19972,0.20078,0.19972,0.20078,0.20063,1760.60046512,6,2020-11-10,07:00:00
1604995200,0.20055,0.20324,0.20040,0.20313,0.20065,19709.40800397,15,2020-11-10,08:00:00
1604998800,0.20300,0.20300,0.20300,0.20300,0.20300,78.32959467,1,2020-11-10,09:00:00
1605002400,0.20298,0.20298,0.20171,0.20171,0.20293,18892.20581648,8,2020-11-10,10:00:00
1605006000,0.19970,0.20036,0.19817,0.20036,0.19861,22570.48051641,13,2020-11-10,11:00:00
1605009600,0.19987,0.20109,0.19987,0.20109,0.20061,5077.20603438,9,2020-11-10,12:00:00
1605013200,0.19800,0.19871,0.19800,0.19871,0.19867,19050.90451636,5,2020-11-10,13:00:00
1605016800,0.20026,0.20027,0.20026,0.20027,0.20026,2500.00000000,2,2020-11-10,14:00:00
1605020400,0.19876,0.20112,0.19656,0.20110,0.19835,34178.05325239,37,2020-11-10,15:00:00
1605024000,0.20258,0.20643,0.20258,0.20621,0.20430,25696.64769009,27,2020-11-10,16:00:00
1605027600,0.20214,0.20241,0.20159,0.20204,0.20205,29803.48571992,16,2020-11-10,17:00:00
1605031200,0.20088,0.20088,0.20088,0.20088,0.20088,10999.99999993,4,2020-11-10,18:00:00
1605034800,0.20124,0.20179,0.20124,0.20151,0.20134,31923.89318024,8,2020-11-10,19:00:00
1605038400,0.20309,0.20344,0.20281,0.20281,0.20290,11910.30582154,8,2020-11-10,20:00:00
1605042000,0.20331,0.20331,0.20320,0.20320,0.20324,6866.43304606,8,2020-11-10,21:00:00
1605045600,0.20320,0.20320,0.20320,0.20320,0.00000,0.00000000,0,2020-11-10,22:00:00
1605049200,0.20376,0.20376,0.20278,0.20299,0.20283,20685.00991890,7,2020-11-10,23:00:00
1605052800,0.20300,0.20775,0.20300,0.20775,0.20716,3635.64892771,11,2020-11-11,00:00:00
