0,1,2,3,4,5,6,7
2020-11-08 02:00:00,2.5042,2.5042,2.5042,2.5042,2.5042,3.49494660,1
2020-11-08 03:00:00,2.5099,2.5099,2.5099,2.5099,2.5099,4.38264473,1
2020-11-08 04:00:00,2.5061,2.5108,2.5054,2.5108,2.5099,491.75434220,9
2020-11-08 05:00:00,2.5099,2.5264,2.5099,2.5264,2.5138,6818.44283546,28
2020-11-08 06:00:00,2.5280,2.5280,2.5207,2.5207,2.5243,152.68863260,8
2020-11-08 07:00:00,2.5299,2.5370,2.5290,2.5290,2.5300,671.16307490,6
2020-11-08 08:00:00,2.5306,2.5306,2.5211,2.5229,2.5295,242.90796989,4
2020-11-08 09:00:00,2.5421,2.5578,2.5421,2.5560,2.5555,2467.00583185,25
2020-11-08 10:00:00,2.5630,2.5630,2.5630,2.5630,2.5630,10.86980156,1
2020-11-08 11:00:00,2.5465,2.5465,2.5300,2.5335,2.5328,1686.92988000,10
2020-11-08 12:00:00,2.5400,2.5481,2.5400,2.5481,2.5418,813.98155000,7
2020-11-08 13:00:00,2.5608,2.5626,2.5608,2.5626,2.5616,3919.20000000,12
2020-11-08 14:00:00,2.5500,2.5500,2.5256,2.5323,2.5447,706.35264862,8
2020-11-08 15:00:00,2.5392,2.5416,2.5283,2.5283,2.5316,200.39458419,5
2020-11-08 16:00:00,2.5232,2.5232,2.5160,2.5232,2.5222,1054.57311435,13
2020-11-08 17:00:00,2.5305,2.5412,2.5294,2.5412,2.5308,139.75606384,3
2020-11-08 18:00:00,2.5412,2.5430,2.5371,2.5376,2.5386,294.41297515,5
2020-11-08 19:00:00,2.5431,2.5593,2.5311,2.5593,2.5525,1959.68965660,25
2020-11-08 20:00:00,2.5538,2.5538,2.5431,2.5453,2.5498,254.21000000,4
2020-11-08 21:00:00,2.5380,2.5409,2.5369,2.5409,2.5374,1469.07203273,8
2020-11-08 22:00:00,2.5279,2.5279,2.5267,2.5267,2.5273,11.69606969,2
2020-11-08 23:00:00,2.5219,2.5237,2.5158,2.5208,2.5216,81.95447570,5
2020-11-09 00:00:00,2.5132,2.5257,2.5123,2.5257,2.5131,1515.60665136,12
2020-11-09 01:00:00,2.5180,2.5182,2.5148,2.5148,2.5175,1200.00000000,4
2020-11-09 02:00:00,2.5178,2.5204,2.5090,2.5096,2.5160,5263.94943106,24
2020-11-09 03:00:00,2.5093,2.5303,2.5033,2.5302,2.5146,4389.20173277,24
2020-11-09 04:00:00,2.5330,2.5348,2.5277,2.5323,2.5318,2904.27417160,20
2020-11-09 05:00:00,2.5346,2.5355,2.5309,2.5327,2.5332,4882.71951000,14
2020-11-09 06:00:00,2.5319,2.5454,2.5319,2.5454,2.5354,2566.89085615,11
2020-11-09 07:00:00,2.5493,2.5493,2.5124,2.5179,2.5299,7483.86813843,45
2020-11-09 08:00:00,2.5127,2.5162,2.4869,2.4973,2.4984,12216.48778575,53
2020-11-09 09:00:00,2.5039,2.5122,2.4827,2.4862,2.4976,3386.22402775,17
2020-11-09 10:00:00,2.4822,2.4963,2.4722,2.4767,2.4886,5663.76391124,31
2020-11-09 11:00:00,2.4700,2.4939,2.4591,2.4939,2.4650,5727.08586454,23
2020-11-09 12:00:00,2.4978,2.5035,2.4978,2.5035,2.5013,2748.42181243,19
2020-11-09 13:00:00,2.4943,2.5048,2.4943,2.5038,2.5001,3603.70727266,21
2020-11-09 14:00:00,2.5064,2.5142,2.5064,2.5069,2.5104,1177.04143399,9
2020-11-09 15:00:00,2.5138,2.5150,2.5080,2.5080,2.5115,5576.91078700,26
2020-11-09 16:00:00,2.5092,2.5170,2.5077,2.5098,2.5127,1258.65590126,12
2020-11-09 17:00:00,2.5058,2.5109,2.4979,2.4982,2.5029,4608.97540614,26
2020-11-09 18:00:00,2.4991,2.4991,2.4966,2.4966,2.4978,599.33450458,3
2020-11-09 19:00:00,2.4987,2.4987,2.4863,2.4982,2.4929,1925.29086322,27
2020-11-09 20:00:00,2.5000,2.5083,2.4973,2.5080,2.5051,1070.98402583,10
2020-11-09 21:00:00,2.5080,2.5080,2.5080,2.5080,0.0000,0.00000000,0
2020-11-09 22:00:00,2.5016,2.5016,2.5016,2.5016,2.5016,40.21644002,4
2020-11-09 23:00:00,2.5061,2.5061,2.4987,2.5015,2.5023,2307.46449456,16
2020-11-10 00:00:00,2.5001,2.5016,2.4999,2.4999,2.5002,210.75837716,5
2020-11-10 01:00:00,2.5004,2.5013,2.4800,2.4885,2.4913,5641.56169706,33
2020-11-10 02:00:00,2.4924,2.5116,2.4924,2.5116,2.4993,564.58799052,7
2020-11-10 03:00:00,2.5146,2.5284,2.5146,2.5173,2.5218,2103.15598709,17
2020-11-10 04:00:00,2.5207,2.5257,2.5169,2.5253,2.5202,11227.87087070,41
2020-11-10 05:00:00,2.5204,2.5222,2.5036,2.5038,2.5104,2745.05776794,18
2020-11-10 06:00:00,2.5131,2.5142,2.5003,2.5142,2.5038,1909.72157650,13
2020-11-10 07:00:00,2.5195,2.5255,2.5057,2.5072,2.5206,2788.33012435,17
2020-11-10 08:00:00,2.5002,2.5090,2.4984,2.5086,2.5048,1555.51266200,16
2020-11-10 09:00:00,2.4980,2.5010,2.4829,2.4924,2.4908,3406.50367780,18
2020-11-10 10:00:00,2.4888,2.4947,2.4871,2.4920,2.4893,1265.35747128,9
2020-11-10 11:00:00,2.5052,2.5070,2.5018,2.5018,2.5043,1246.78987548,7
2020-11-10 12:00:00,2.5022,2.5022,2.4956,2.4995,2.4977,4167.96457182,25
2020-11-10 13:00:00,2.4948,2.5000,2.4893,2.5000,2.4919,3531.45966043,14
2020-11-10 14:00:00,2.4995,2.5024,2.4988,2.5023,2.4997,3890.84835812,24
2020-11-10 15:00:00,2.5001,2.5062,2.4964,2.4980,2.5016,5810.30474127,32
2020-11-10 16:00:00,2.5001,2.5061,2.5001,2.5057,2.5045,504.03466122,10
2020-11-10 17:00:00,2.5078,2.5135,2.5078,2.5135,2.5120,485.07600000,4
2020-11-10 18:00:00,2.5103,2.5103,2.4981,2.4985,2.5011,7992.57394991,35
2020-11-10 19:00:00,2.5060,2.5343,2.5060,2.5274,2.5234,7497.83172091,37
2020-11-10 20:00:00,2.5224,2.5291,2.5206,2.5240,2.5245,2842.05046670,13
2020-11-10 21:00:00,2.5271,2.5271,2.5125,2.5169,2.5181,7363.04009084,74
2020-11-10 22:00:00,2.5089,2.5171,2.5089,2.5171,2.5092,342.83881451,2
2020-11-10 23:00:00,2.5100,2.5100,2.5051,2.5051,2.5079,769.19161817,6
2020-11-11 00:00:00,2.5061,2.5095,2.5026,2.5095,2.5067,2641.96213993,13
2020-11-11 01:00:00,2.5100,2.5100,2.5077,2.5077,2.5081,745.87350399,2
2020-11-11 02:00:00,2.5099,2.5099,2.5064,2.5064,2.5092,347.88720000,8
2020-11-11 03:00:00,2.5028,2.5058,2.4999,2.5014,2.5018,7103.02470322,34
2020-11-11 04:00:00,2.5027,2.5096,2.4970,2.4999,2.5046,4181.14710000,20
2020-11-11 05:00:00,2.5077,2.5155,2.5077,2.5134,2.5132,974.55743480,7
2020-11-11 06:00:00,2.5102,2.5204,2.5102,2.5133,2.5149,10173.70574395,45
2020-11-11 07:00:00,2.5103,2.5190,2.5103,2.5145,2.5144,12090.20855841,59
2020-11-11 08:00:00,2.5165,2.5196,2.5077,2.5077,2.5137,9563.76800000,43
2020-11-11 09:00:00,2.5097,2.5148,2.5084,2.5148,2.5108,2678.95472943,15
2020-11-11 10:00:00,2.5122,2.5186,2.5122,2.5158,2.5161,4114.38245416,17
2020-11-11 11:00:00,2.5208,2.5400,2.5202,2.5309,2.5243,907.15811618,20
2020-11-11 12:00:00,2.5343,2.5350,2.5247,2.5250,2.5297,8095.05449534,38
2020-11-11 13:00:00,2.5262,2.5278,2.5169,2.5169,2.5232,17580.99787612,60
2020-11-11 14:00:00,2.5184,2.5234,2.5135,2.5155,2.5185,8519.87683132,42
2020-11-11 15:00:00,2.5120,2.5120,2.4971,2.5080,2.5068,3584.96138575,29
2020-11-11 16:00:00,2.5119,2.5138,2.5108,2.5138,2.5111,1655.28710000,9
2020-11-11 17:00:00,2.5158,2.5170,2.5158,2.5170,2.5162,598.25000000,3
2020-11-11 18:00:00,2.5030,2.5034,2.5030,2.5034,2.5031,1000.00000000,4
2020-11-11 19:00:00,2.5003,2.5013,2.4601,2.4857,2.4801,11847.52569793,70
2020-11-11 20:00:00,2.4835,2.4952,2.4835,2.4890,2.4902,3744.53528807,16
2020-11-11 21:00:00,2.4934,2.4960,2.4909,2.4910,2.4924,4010.45951919,14
2020-11-11 22:00:00,2.4889,2.4922,2.4878,2.4888,2.4891,1102.07966235,7
2020-11-11 23:00:00,2.4865,2.4865,2.4802,2.4824,2.4837,2551.67705952,12
2020-11-12 00:00:00,2.4925,2.4925,2.4873,2.4873,2.4880,88.22700040,2
2020-11-12 01:00:00,2.4888,2.4947,2.4887,2.4918,2.4916,5442.46574093,21
2020-11-12 02:00:00,2.4902,2.5037,2.4902,2.5037,2.4995,15258.07535697,41
2020-11-12 03:00:00,2.4953,2.4953,2.4841,2.4855,2.4905,2016.37350000,15
2020-11-12 04:00:00,2.4853,2.4991,2.4853,2.4991,2.4909,2317.88490000,13
2020-11-12 05:00:00,2.4988,2.5050,2.4664,2.4673,2.4844,28409.42771059,138
2020-11-12 06:00:00,2.4703,2.4783,2.4703,2.4771,2.4739,7469.70830766,29
2020-11-12 07:00:00,2.4768,2.4814,2.4768,2.4814,2.4780,2747.58884672,12
2020-11-12 08:00:00,2.4791,2.4822,2.4735,2.4813,2.4761,2829.68181923,16
2020-11-12 09:00:00,2.4843,2.4873,2.4661,2.4790,2.4789,3346.86115158,21
2020-11-12 10:00:00,2.4760,2.4863,2.4760,2.4863,2.4813,1815.28254281,17
2020-11-12 11:00:00,2.4831,2.4831,2.4613,2.4644,2.4733,4437.47403133,28
2020-11-12 12:00:00,2.4624,2.4697,2.4351,2.4434,2.4526,31050.68693573,117
2020-11-12 13:00:00,2.4500,2.4548,2.4455,2.4498,2.4492,3359.98053367,24
2020-11-12 14:00:00,2.4525,2.4546,2.4433,2.4471,2.4498,3040.12050857,24
2020-11-12 15:00:00,2.4486,2.4536,2.4484,2.4484,2.4521,1541.78751959,13
2020-11-12 16:00:00,2.4492,2.4545,2.4422,2.4545,2.4464,3247.21756676,24
2020-11-12 17:00:00,2.4643,2.4717,2.4630,2.4703,2.4660,296.04820362,11
2020-11-12 18:00:00,2.4700,2.4700,2.4624,2.4667,2.4660,1783.41715950,5
2020-11-12 19:00:00,2.4650,2.4760,2.4650,2.4718,2.4729,2946.18173551,17
2020-11-12 20:00:00,2.4834,2.4862,2.4819,2.4838,2.4840,3715.37370116,19
2020-11-12 21:00:00,2.4905,2.4905,2.4831,2.4831,2.4866,111.27472141,7
2020-11-12 22:00:00,2.4852,2.4883,2.4846,2.4874,2.4873,370.69182237,13
2020-11-12 23:00:00,2.4915,2.4916,2.4830,2.4830,2.4859,830.57125000,7
2020-11-13 00:00:00,2.4840,2.4840,2.4711,2.4711,2.4759,450.42000000,5
2020-11-13 01:00:00,2.4758,2.4796,2.4758,2.4781,2.4773,4441.13546124,21
2020-11-13 02:00:00,2.4713,2.4718,2.4631,2.4667,2.4677,4589.19166737,23
2020-11-13 03:00:00,2.4663,2.4888,2.4663,2.4888,2.4703,16197.75939101,49
2020-11-13 04:00:00,2.4956,2.5056,2.4956,2.4982,2.4994,1858.05784440,26
2020-11-13 05:00:00,2.4994,2.5000,2.4890,2.4890,2.4980,1649.10080000,11
2020-11-13 06:00:00,2.4837,2.4846,2.4831,2.4831,2.4839,758.70185209,4
2020-11-13 07:00:00,2.4936,2.4938,2.4936,2.4938,2.4937,964.36992245,5
2020-11-13 08:00:00,2.5088,2.5552,2.5060,2.5506,2.5347,4617.30493225,27
2020-11-13 09:00:00,2.5516,2.5959,2.5516,2.5657,2.5695,14023.84206529,96
2020-11-13 10:00:00,2.5673,2.5673,2.5539,2.5589,2.5574,3855.84596668,38
2020-11-13 11:00:00,2.5713,2.6515,2.5543,2.6211,2.6184,68085.23701895,173
2020-11-13 12:00:00,2.6197,2.6197,2.6001,2.6006,2.6058,7078.25223911,43
2020-11-13 13:00:00,2.6015,2.6073,2.6000,2.6060,2.6023,2978.08917097,18
2020-11-13 14:00:00,2.6075,2.6078,2.5660,2.5984,2.5844,95128.13606775,136
2020-11-13 15:00:00,2.6004,2.6011,2.5875,2.5914,2.5957,2088.87619999,23
2020-11-13 16:00:00,2.5900,2.6000,2.5900,2.6000,2.5977,3921.21216730,23
2020-11-13 17:00:00,2.6029,2.6114,2.6000,2.6114,2.6001,19961.18340995,21
2020-11-13 18:00:00,2.6108,2.6153,2.5985,2.5985,2.6066,14013.30450581,46
2020-11-13 19:00:00,2.6021,2.6099,2.5730,2.5920,2.5894,6460.39320299,31
2020-11-13 20:00:00,2.5896,2.5896,2.5750,2.5750,2.5759,1626.69071195,11
2020-11-13 21:00:00,2.5710,2.5833,2.5710,2.5733,2.5739,485.82565856,12
2020-11-13 22:00:00,2.5786,2.5786,2.5786,2.5786,2.5786,6.86700000,1
2020-11-13 23:00:00,2.5694,2.5717,2.5528,2.5588,2.5671,31201.28332500,98
2020-11-14 00:00:00,2.5555,2.5651,2.5555,2.5651,2.5563,283.10071195,5
2020-11-14 01:00:00,2.5703,2.5703,2.5703,2.5703,2.5703,135.54861597,1
