Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1604941200,443.16,445.60,442.18,445.59,444.09,1936.16424525,535,2020-11-09,17:00:00
1604944800,445.62,446.84,443.25,446.52,445.49,1558.64208633,448,2020-11-09,18:00:00
1604948400,446.51,447.96,445.06,446.69,446.84,2209.84336493,564,2020-11-09,19:00:00
1604952000,446.69,450.02,446.06,447.00,448.35,5715.85991317,805,2020-11-09,20:00:00
1604955600,446.99,450.83,446.99,447.90,448.41,2233.79307386,490,2020-11-09,21:00:00
1604959200,447.73,447.94,441.82,442.78,443.49,5086.81764337,737,2020-11-09,22:00:00
1604962800,442.96,445.68,442.48,444.33,444.14,2360.19342467,459,2020-11-09,23:00:00
1604966400,444.69,445.35,439.00,445.18,441.94,5469.53700091,1255,2020-11-10,00:00:00
1604970000,445.50,448.67,444.23,447.67,447.27,1786.88403355,441,2020-11-10,01:00:00
1604973600,447.79,448.68,446.11,446.11,447.26,791.40117315,219,2020-11-10,02:00:00
1604977200,446.10,449.87,444.61,449.86,446.87,1253.39470227,331,2020-11-10,03:00:00
1604980800,449.87,452.24,447.57,451.26,449.72,1669.54072416,456,2020-11-10,04:00:00
1604984400,451.60,453.28,448.79,449.50,451.38,6117.49522694,701,2020-11-10,05:00:00
1604988000,449.74,451.20,446.49,447.96,448.51,957.78991105,350,2020-11-10,06:00:00
1604991600,448.09,450.27,446.81,449.13,449.21,2066.22243038,282,2020-11-10,07:00:00
1604995200,449.13,454.87,449.13,451.29,452.96,2891.98274809,580,2020-11-10,08:00:00
1604998800,451.28,455.00,451.27,453.12,453.08,1178.04728385,369,2020-11-10,09:00:00
1605002400,452.91,453.59,447.94,449.06,450.55,2261.88476513,471,2020-11-10,10:00:00
1605006000,449.06,450.21,445.00,447.75,447.20,2549.28954260,553,2020-11-10,11:00:00
1605009600,447.76,450.51,446.27,448.43,448.60,600.38696464,309,2020-11-10,12:00:00
1605013200,448.50,448.60,444.59,447.90,446.00,4668.87770514,765,2020-11-10,13:00:00
1605016800,447.89,448.55,443.00,444.29,445.82,2399.65052971,619,2020-11-10,14:00:00
1605020400,444.28,445.41,441.21,443.57,443.10,3831.91901703,823,2020-11-10,15:00:00
1605024000,443.62,447.08,442.49,445.60,445.55,1840.10599173,443,2020-11-10,16:00:00
1605027600,445.74,447.50,445.29,447.39,446.34,2052.04195010,341,2020-11-10,17:00:00
1605031200,447.39,447.39,444.28,446.75,445.45,781.91295860,335,2020-11-10,18:00:00
1605034800,446.74,449.50,445.50,448.41,447.72,872.40209447,387,2020-11-10,19:00:00
1605038400,448.90,452.89,448.25,450.02,451.71,3259.83177223,858,2020-11-10,20:00:00
1605042000,450.13,452.99,450.13,451.73,451.91,1268.79589497,497,2020-11-10,21:00:00
1605045600,451.92,454.68,450.71,454.38,453.49,4558.71509295,508,2020-11-10,22:00:00
1605049200,454.38,455.16,450.04,451.35,452.80,1128.73101124,463,2020-11-10,23:00:00
1605052800,451.59,465.00,450.02,463.66,460.41,10172.30097735,1990,2020-11-11,00:00:00
1605056400,463.69,466.99,462.50,463.91,464.39,4970.30665691,948,2020-11-11,01:00:00
1605060000,463.91,465.00,460.04,462.37,462.88,2876.07441850,620,2020-11-11,02:00:00
1605063600,462.57,465.00,461.97,463.80,463.29,1772.36465038,290,2020-11-11,03:00:00
1605067200,463.50,466.43,459.22,460.74,462.47,3322.45197289,624,2020-11-11,04:00:00
1605070800,460.86,461.67,458.50,460.24,459.67,2021.55076141,372,2020-11-11,05:00:00
1605074400,460.25,462.59,460.25,460.41,461.22,885.07419693,243,2020-11-11,06:00:00
