Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1604941200,117.33,118.06,117.25,117.73,117.47,188.11830031,45,2020-11-09,17:00:00
1604944800,117.75,118.40,117.70,118.07,117.91,50.62248262,22,2020-11-09,18:00:00
1604948400,118.39,119.22,118.11,118.13,118.26,294.91236802,46,2020-11-09,19:00:00
1604952000,118.43,118.70,117.70,117.70,118.01,196.55377607,50,2020-11-09,20:00:00
1604955600,117.23,118.39,117.23,117.31,117.80,52.05116105,29,2020-11-09,21:00:00
1604959200,117.64,118.03,116.22,116.24,117.37,44.19700596,25,2020-11-09,22:00:00
1604962800,116.33,116.50,115.63,115.74,115.77,93.20230014,28,2020-11-09,23:00:00
1604966400,115.90,116.23,114.93,116.23,115.12,102.07268774,33,2020-11-10,00:00:00
1604970000,116.21,116.96,116.19,116.96,116.50,361.44240307,46,2020-11-10,01:00:00
1604973600,117.42,117.94,117.14,117.17,117.56,1238.83980675,53,2020-11-10,02:00:00
1604977200,116.97,117.70,116.97,117.64,117.09,23.65066175,19,2020-11-10,03:00:00
1604980800,117.93,118.19,117.75,117.75,117.94,74.41676116,20,2020-11-10,04:00:00
1604984400,117.58,117.60,117.04,117.04,117.21,9.97171076,9,2020-11-10,05:00:00
1604988000,116.79,116.79,115.66,115.77,116.10,29.02458225,10,2020-11-10,06:00:00
1604991600,115.84,116.60,115.63,116.60,115.89,681.80027251,33,2020-11-10,07:00:00
1604995200,116.74,117.22,116.51,116.75,117.01,7.95671102,12,2020-11-10,08:00:00
1604998800,116.83,116.91,116.65,116.79,116.78,13.37524275,5,2020-11-10,09:00:00
1605002400,116.78,117.16,116.50,117.04,116.72,89.77954432,25,2020-11-10,10:00:00
1605006000,115.61,115.67,115.00,115.64,115.39,87.79785601,27,2020-11-10,11:00:00
1605009600,115.85,117.16,115.71,115.72,116.58,34.08640531,23,2020-11-10,12:00:00
1605013200,115.70,116.37,115.70,116.37,115.77,129.66080886,64,2020-11-10,13:00:00
1605016800,116.27,116.27,115.07,115.28,115.83,816.54468205,147,2020-11-10,14:00:00
1605020400,115.23,115.65,114.52,115.16,114.84,283.24546528,71,2020-11-10,15:00:00
1605024000,115.00,115.80,115.00,115.07,115.41,209.40075169,60,2020-11-10,16:00:00
